,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-07-15,1213.213848187686,1218.4775450466864,1204.309869041595,1210.1146240234375,15612671,418.5137615167691,425.2603139042144,416.82711619633983,422.4796447753906,16876907
2024-07-16,1210.1638079399554,1224.9219031587354,1209.1799349253702,1219.9041748046875,12320605,422.5251950379047,425.5338109620082,420.6562269340028,424.43975830078125,13497253
2024-07-18,1214.984806208363,1236.187197550179,1211.8363405098085,1230.136474609375,10999632,422.1149345797316,429.31732238979913,421.7958262702707,428.7247009277344,21907158
2024-07-19,1223.9381496090357,1230.333324828054,1220.2486254442174,1228.51318359375,7958817,429.40848412543824,437.0667368269077,427.94975694190003,432.6449890136719,25939326
2024-07-22,1220.002555200142,1225.2171302912695,1213.0170807189304,1221.134033203125,9958965,432.6905848326919,437.11230375842484,424.71325270358847,425.3514404296875,18762384
2024-07-23,1221.1341050565184,1228.5131532036169,1192.9461171142627,1206.96630859375,19369832,425.3514491191427,453.4772470105013,425.21469253973703,448.7364196777344,56125835
2024-07-24,1205.2444794873966,1213.7550053424823,1182.6646411572679,1203.2767333984375,20122521,452.2008718247006,465.55721919731405,447.3233168036432,450.4230651855469,43693692
2024-07-25,1186.0589540798987,1198.6033353860112,1171.3992217096722,1178.58154296875,14154461,446.7307164122864,452.20089316741996,441.853161161021,446.6851501464844,18567567
2024-07-26,1170.808877642708,1200.3250678353813,1166.824143926023,1187.7314453125,19309265,450.42308880903994,461.6825218161174,444.36031941248064,457.8534240722656,21534703
2024-07-29,1195.5532610278044,1222.708130922957,1184.7306583803272,1193.1427001953125,28458261,460.8619798639512,461.5001675935918,450.423058192173,452.2464599609375,12978187
2024-07-30,1193.4379877337221,1211.0000973333736,1184.976703679443,1189.9451904296875,23972277,452.4744082624718,453.84194523349976,445.4999379265304,446.6395568847656,13891052
2024-07-31,1199.341350948273,1204.9002581785046,1191.4703658723204,1195.3074951171875,22297629,448.9643640042543,453.97867557287424,447.1865573764219,451.6082763671875,11982586
2024-08-01,1192.946036063854,1202.9323712314479,1187.4363711753606,1190.584716796875,8725046,452.155294892808,452.88467297760064,447.59681911064166,450.10400390625,12114803
