,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-19,1236.113132982547,1248.2645525643281,1233.8720835165427,1242.1888427734375,16162399,3428.5132810234372,3428.5132810234372,3347.0776328908673,3380.2802734375,3051244,855.930432694155,863.823739278078,854.5490799535085,860.4197387695312,15221406,1556.9238965430377,1556.9238965430377,1527.5920028100838,1540.94677734375,7387068,1295.6029599370165,1308.2057883620175,1292.1794251380722,1303.0455322265625,11278014
2025-03-20,1246.8700894970418,1267.9359786597456,1245.0773228865291,1264.101318359375,15971477,3394.68252652922,3459.3960314822807,3394.68252652922,3444.123779296875,2845192,865.3036807089222,875.1703133281802,862.9850461318551,872.580322265625,17833978,1546.240146235024,1584.9932992405397,1546.240146235024,1569.11328125,7186750,1309.8927772461004,1314.1102350516276,1301.0113557334153,1311.5797119140625,10886735
2025-03-21,1269.927977701306,1275.9041093610767,1265.0474458622177,1271.2725830078125,21780769,3358.918875185949,3495.45046975286,3349.2529215882914,3458.574951171875,4161925,866.0684175252852,875.2196836615442,866.0684175252852,873.3696899414062,33508264,1532.59385494289,1557.7980274559397,1518.7049607743006,1546.7742919921875,10074677,1305.923445707521,1338.6707661545943,1301.5571120874529,1332.81591796875,60494318
2025-03-24,1285.86434660882,1300.8046759652354,1279.141198398433,1296.920166015625,20299319,3479.742702237372,3527.8308131919025,3447.458517116232,3507.7255859375,1834751,877.6369838460287,890.1676194932312,874.997671627427,887.9969482421875,17393736,1552.0189913058653,1560.9060103586978,1527.4947691913153,1546.968505859375,8857726,1345.5675050388625,1362.4870024308004,1334.7510627437973,1347.750732421875,9352280
2025-03-25,1302.497915186312,1302.497915186312,1277.4977874103538,1280.33642578125,13713899,3523.239631457287,3586.068321730188,3516.473464812513,3535.563720703125,3135390,890.4143157035983,909.5555477752322,888.7369760332164,898.5789184570312,39101416,1558.8663000022038,1589.1209562659596,1558.8663000022038,1581.6422119140625,9890140,1348.5941513991709,1353.3574463042776,1319.8658696966822,1333.4112548828125,16419207
2025-03-26,1285.8643858858131,1288.6532960847499,1263.7028966635362,1267.98583984375,12074747,3525.897689430406,3557.5536826670163,3504.7293486525073,3514.346923828125,1734499,900.3302775382388,901.5636066855513,888.9836493829623,891.2283325195312,24478442,1579.2628561729366,1590.6751185099797,1549.153908730525,1553.4759521484375,6651302,1333.7586400786652,1347.6017762925185,1321.304687138062,1325.6710205078125,10859639
2025-03-27,1273.0655062272906,1279.8882324099652,1266.242780044616,1273.115234375,15028056,3494.0970689111577,3540.638537603521,3489.892285017066,3529.232666015625,2528474,887.9969842041877,908.2235821777275,887.0596420099644,900.5029296875,41658100,1549.688079270318,1573.3866387891755,1540.4125339270274,1557.4581298828125,9426573,1322.9420827344788,1341.1515523929718,1322.9420827344788,1326.415283203125,15109614
2025-03-28,1274.9081198538831,1290.5954658598978,1263.9518781988888,1270.027587890625,18147129,3529.0393930182477,3538.656968927356,3471.9135171595426,3485.6875,2051919,902.3035639097062,905.7568853680813,890.8829244709937,901.9088745117188,28773648,1544.2975705237486,1552.504639118573,1515.1598805138667,1525.5037841796875,6799047,1325.7702231722565,1347.5521031600986,1317.0375564815454,1338.025634765625,8266544
2025-04-01,1259.5693287834792,1272.8164693011493,1244.330265958221,1247.6170654296875,12099648,3453.354865404157,3464.277439125219,3407.248318336048,3432.1865234375,2618493,888.9836405685396,892.8809726796349,870.9030234039785,872.1363525390625,28511006,1495.0061979771754,1502.92196020728,1474.2212903040318,1482.6226806640625,12680733,1329.739654923708,1341.995067068455,1305.328040709696,1308.3546142578125,14288024
2025-04-02,1242.5873186806543,1250.5554948342144,1238.9518139936486,1246.1729736328125,10142590,3425.614050794505,3445.042712463126,3412.1300923457825,3425.565673828125,1764313,873.5423260418547,887.602278026219,873.5423260418547,886.4676513671875,11573564,1491.0726643663595,1510.9349273715397,1491.0726643663595,1505.593017578125,6193478,1312.026343402594,1327.705290380845,1312.026343402594,1321.056640625,8042214
2025-04-03,1228.145018441354,1246.8204315907722,1228.145018441354,1243.732666015625,7434366,3374.3837418832018,3385.0162887639567,3282.702095521906,3289.46826171875,4537821,878.6729886492828,889.9702954640933,876.6503409310941,885.456298828125,11250038,1490.538435185599,1490.538435185599,1442.3641486583924,1453.4849853515625,10459504,1311.8278468858045,1322.7932860458366,1311.1332552048473,1319.3697509765625,4591008
2025-04-04,1236.1628160172713,1240.4954871764826,1188.4036122186155,1199.9075927734375,17908652,3250.2733357697866,3286.085501586113,3185.414699028632,3189.184326171875,5317367,894.4103269547068,908.6922548603657,893.4729847277881,896.5316772460938,33540454,1418.5197886514006,1429.6892358061361,1406.3790852223406,1409.9241943359375,9590254,1319.3697112264526,1328.3007984100484,1311.9766830431024,1325.07568359375,8648542
2025-04-07,1127.6960086529814,1166.590714623955,1110.415052053189,1161.062744140625,22156106,2996.4454369330797,3181.4516833870694,2953.963620596823,3164.681396484375,6623955,869.6450067324856,878.0562747489253,857.5090006629878,867.1289672851562,37995450,1313.1385736419368,1365.489314158466,1269.4320382766355,1356.602294921875,21715252,1285.3322768617725,1314.854481252151,1255.3139009690346,1277.6912841796875,19185012
2025-04-08,1167.3378163352843,1191.8399338970503,1158.6724733291408,1177.4971923828125,19555040,3191.7458179951013,3237.1274167268007,3146.5574911118592,3182.94970703125,5557558,870.730371547347,879.1170096868965,863.4784203033727,872.7777099609375,35563872,1389.8677955834949,1414.6348317731379,1374.3276944448953,1387.7310791015625,12805001,1289.8969896705237,1300.0189606799747,1277.4927025037578,1289.9466552734375,13085762
2025-04-09,1164.8477193030515,1185.0670143686195,1163.3536863154889,1180.6346435546875,10223104,3151.6321497293247,3160.76642752928,3104.752280697163,3138.148193359375,2990265,870.7303466796875,875.6636630914704,865.0570328061372,870.7303466796875,22454608,1364.663707842691,1368.9371407012397,1342.1791008495861,1363.3524169921875,8546854,1294.9579703581671,1295.106846037701,1274.6646041339118,1290.83984375,13005622
2025-04-11,1190.3957018139643,1217.786306450343,1190.3957018139643,1214.1009521484375,11224242,3179.6636391398747,3188.749540631033,3098.904554048043,3123.552734375,7108961,875.540352413462,897.567622795633,875.540352413462,891.3269653320312,32775766,1370.6855647660782,1397.4437254302495,1356.893771609889,1368.937255859375,12567440,1295.1067945023049,1314.8544439632922,1295.1067945023049,1301.606689453125,13064247
