,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS,LTF.NS,LTF.NS,LTF.NS,LTF.NS,LTF.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2024-03-04,145187.5332568686,146359.00348228883,144181.31510792786,145706.765625,9680.0,166.95911563806993,170.4050770917556,166.18255864952783,169.19171142578125,3999129,393.3780426536164,393.5725554113637,383.5557419569772,387.1053771972656,1565564
2024-03-05,146059.8720115661,146702.93445246038,144564.42469716378,144959.484375,4157.0,168.90050416638238,170.3080054054503,166.1825620565588,166.71644592285156,2910890,390.9467780041842,392.30827826054264,383.06948624303084,385.98699951171875,1482795
2024-03-06,145142.69964746747,145710.9407192837,143567.44572905148,145302.3125,5515.0,165.01773882185853,166.4737776938161,150.45735010228276,154.5342559814453,23795170,385.20896911540984,386.08421707232174,371.54526554039904,378.7418212890625,1496555
2024-03-07,145298.13980364683,145298.13980364683,143097.06825199415,143524.234375,7336.0,155.89321643320793,160.5040056605785,155.6505433159779,157.05804443359375,7600890,379.27670089340086,392.8917619511127,374.70591852406363,388.17510986328125,1854717
2024-03-11,144065.93200597833,144900.7136991449,143453.4804362535,144515.28125,10522.0,158.2228729388892,158.2228729388892,152.1075074028592,152.93260192871094,3814963,389.87701691155013,395.8092998224723,381.17312014023224,388.9531555175781,2283445
2024-03-12,144209.99651301064,144209.99651301064,141174.6420101857,141849.265625,6303.0,152.30165222650396,153.75769102336,149.5837249883134,150.99122619628906,3621317,392.1624062313248,397.46256717639477,383.3612531271593,388.9045104980469,2012345
2024-03-13,141849.26800995762,143068.93692849856,137333.12503398643,138639.984375,9846.0,151.91338900792442,153.0782171434301,142.0608652301309,143.27423095703125,7266982,389.4880147794398,397.21943668203386,365.7102701705767,368.8222961425781,2274244
2024-03-14,138682.14118703344,142494.06185833385,138482.74199050284,139880.234375,7838.0,142.691795772354,146.28335501655064,140.36213972519724,144.8273162841797,5554571,365.66162418805453,386.57046706050977,365.66162418805453,383.6529541015625,1603045
2024-03-15,140077.93938083173,142204.32935498032,137132.65738717333,140887.546875,23415.0,145.74947390635762,147.88500926963863,143.27421986439572,146.4774932861328,4208728,386.035640260442,388.0292624442147,372.32332204288286,374.9490661621094,5341051
2024-03-18,140875.55934575433,140875.55934575433,135890.5784771855,136601.1875,16839.0,147.2540501535263,147.44818569234937,142.54620038779967,143.66249084472656,5672848,376.2619323730469,378.3041974724756,371.59392329876226,376.2619323730469,808980
