,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-07-18,1564.4210812674708,1582.1895936713806,1546.3795650620239,1575.0177001953125,12298374,793.2773395385489,801.1459557272271,788.9113662252444,796.6320190429688,33717064
2024-07-19,1574.3475621142547,1578.293333314245,1541.3915329908289,1543.7242431640625,13140390,797.2239068544229,800.677228233124,791.0572615353138,792.9319458007812,26002152
2024-07-22,1525.9557698439748,1526.203933085127,1488.2597977476694,1489.6495361328125,19674376,797.7172520784763,814.4905276323838,795.5712715150735,810.3218994140625,53744822
2024-07-23,1489.9719903646578,1494.6870915999891,1452.2511804820083,1476.96826171875,18052044,812.7885887086006,812.9119216218081,791.7973027922226,798.407958984375,52002152
2024-07-24,1474.0895996286229,1498.4095963901725,1465.552808673545,1484.7109375,11913362,793.3513220807449,799.6906218755655,783.4353677463822,791.3286743164062,61728206
2024-07-25,1470.1190347480779,1489.4509269223795,1466.2228234080762,1481.435302734375,12519876,785.8772830890329,801.6638951787058,785.8772830890329,797.5198974609375,25535732
2024-07-26,1481.4352554076795,1501.3131545447015,1479.4002684339398,1497.9381103515625,9859940,791.7972838101718,800.0605887969758,787.5792741911353,798.2846069335938,43810540
2024-07-29,1500.8414953005092,1516.2772962786503,1500.6678537480493,1508.931640625,7538550,796.7306475152811,805.0432741154053,788.4920327099303,791.822021484375,51001148
2024-07-30,1505.8793670988641,1513.7957501477324,1498.9059558839842,1502.0328369140625,8228208,790.317345854264,806.4739582617092,788.8373508245744,797.0020141601562,54595834
2024-07-31,1492.9499231376883,1499.3524857083617,1490.1208866802617,1494.364501953125,10057346,796.2373165488889,803.0946388161857,793.8693004409521,797.1006469726562,37820484
2024-08-01,1500.8913109431162,1506.8472288436842,1493.2479314401046,1504.1671142578125,10764222,800.627938629233,814.0219048337823,798.1859108540549,808.471923828125,26215174
2024-08-02,1493.9426800961044,1498.2358556077295,1482.303848567256,1488.309326171875,10268248,804.6239322848401,824.1105327295066,804.6239322848401,818.51123046875,44119238
2024-08-05,1469.126390399314,1472.997761203301,1422.7198642160924,1436.69140625,17046704,809.1132611105608,812.0239300120638,789.824004829474,797.1006469726562,41333634
2024-08-06,1444.4588830824964,1466.6446510309138,1440.6619130584993,1445.352294921875,10236186,804.1305829139676,805.5858871810888,786.0253355957136,789.922607421875,45116050
2024-08-07,1458.2071184913539,1461.6814036613468,1450.7622216985117,1454.062744140625,8174568,797.7172944045706,804.1306059860544,790.4159617464212,800.9239501953125,42346264
2024-08-08,1446.8164580997684,1454.2365143735713,1435.3017085687702,1438.4781494140625,12387192,801.1705962949537,815.6252376687839,798.8272709671206,810.3958740234375,33976950
2024-08-09,1449.2732763644294,1465.6520496932055,1445.3026646483625,1463.46826171875,6249776,814.9839073123685,820.1885804457108,811.9252750900921,814.0958862304688,26644618
2024-08-12,1459.199797918004,1462.1777566892652,1447.0397996020206,1449.8936767578125,8184584,814.9838233487179,826.7990913723679,812.6898193077751,818.9797973632812,39316196
2024-08-13,1450.0178268110735,1459.2742672925806,1447.28803114191,1452.8717041015625,6265064,803.1439511462899,805.3146225179424,789.8980079765901,790.9093017578125,54055042
2024-08-14,1452.7972017764512,1461.1850703208015,1443.0194737625147,1451.109619140625,6267466,792.5372336839343,796.0891971974215,790.9092152779186,793.1785888671875,32334428
2024-08-16,1457.8598362701878,1469.5235088888628,1447.3377388233519,1467.339599609375,9416902,803.3905830654421,806.177918901087,794.7572792867222,805.1665649414062,27849246
2024-08-19,1476.6025720306277,1492.3397678065596,1474.6105280885965,1482.4791259765625,13797742,807.9045746403995,807.9045746403995,801.0225621096914,804.895263671875,19502164
2024-08-20,1491.268975771349,1497.9423959482733,1484.0976661921165,1489.9990234375,8411808,802.8725499307859,812.0238759013653,802.8725499307859,807.92919921875,31134494
2024-08-21,1487.30978907883,1501.8766102174725,1484.072717714687,1492.7132568359375,7769996,803.1932203742449,806.3752455426795,798.1119406824072,802.05859375,47630904
2024-08-22,1497.0210123494212,1500.5070892244864,1484.720165407205,1492.1654052734375,10445782,805.1172807347715,808.2252943260683,803.1439540663039,804.77197265625,21300638
2024-08-23,1497.768063961028,1505.3128818837536,1492.4642955105633,1494.008056640625,9249654,806.1038926835937,806.1038926835937,800.6772446912317,801.6885986328125,20333422
2024-08-26,1500.9802618699923,1516.941539085057,1497.021098650585,1506.5828857421875,8816114,805.2159251748899,812.9858989531632,805.2159251748899,809.0392456054688,22364266
2024-08-27,1504.4912711730515,1507.4544123852302,1493.485179145279,1494.481201171875,6251156,810.7412543536698,812.714580974844,805.2159036816922,807.9539184570312,35773244
2024-08-28,1499.0131426615155,1501.4782728482842,1487.0608784010915,1492.33984375,9610286,807.9539173658313,808.9405806750858,804.2292392849356,807.6332397460938,26921188
2024-08-29,1497.1205913811584,1530.885760314005,1488.0568158159556,1514.874755859375,38335358,810.0505418236547,811.2345497877237,804.6979056469421,808.3485717773438,49052604
2024-08-30,1527.89778785993,1533.599989641746,1497.3447635789732,1503.6197509765625,41620730,816.9572296027775,819.9172195651064,799.7646332824804,807.5346069335938,445342100
2024-09-02,1504.8647654458696,1520.7264647058682,1500.6316718721823,1510.2183837890625,11240852,812.4185353190471,812.4185353190471,800.7758609185206,802.6258544921875,34049680
2024-09-03,1515.1984708784905,1516.941509382377,1501.5031683479538,1503.1217041015625,10923800,806.1038818486695,809.0391809529892,801.4665524914798,807.7565307617188,37282860
2024-09-04,1494.7301447200666,1511.4633627071519,1493.534966971581,1508.525146484375,11983304,808.5706125582972,811.4319603519671,805.1172908451134,809.9519653320312,24682744
2024-09-05,1513.0072347057646,1519.7054581926027,1481.1345314015284,1487.035888671875,16264168,812.0238589250097,813.947864316631,810.0505324148638,811.7525024414062,22876318
2024-09-06,1486.5627588054047,1491.0448575756723,1455.8105811316245,1458.997802734375,19394228,808.2252499925564,812.8872099026286,806.1532209716318,807.5592041015625,26029602
2024-09-09,1460.666261949736,1464.07768593117,1449.809597840599,1456.63232421875,9010298,808.0772497858858,813.2572321563082,804.1799176724811,812.2705688476562,23792914
2024-09-10,1454.6901127162012,1466.1942153054945,1451.7766997689328,1455.7110595703125,10768260,815.9705945420105,815.9705945420105,808.0772877024264,814.169921875,26606646
2024-09-11,1457.2300550346945,1462.9073318760024,1441.7917138302157,1445.7259521484375,9760202,814.1945707781381,815.2305552034559,808.6692201411954,810.9879150390625,22226684
2024-09-12,1451.2039809867947,1480.088617533546,1440.1232367942907,1473.913330078125,22349376,815.970556634334,823.8638631072175,812.541925723635,822.1865234375,32424046
2024-09-13,1470.5268529366479,1477.2500011980833,1463.6542770635715,1466.766845703125,8711328,825.8371886289187,825.8371886289187,817.4752411837702,821.8658447265625,23860532
2024-09-16,1471.6723576050656,1475.0090069946318,1458.9232273463058,1465.4969482421875,5481774,822.383822656841,827.7118283198007,820.9285184448568,824.3324584960938,15172820
2024-09-17,1468.1364260685732,1471.5975781970765,1460.790763828237,1466.4432373046875,5935328,827.8104775064535,827.8104775064535,820.9778464556504,823.2718505859375,20127122
2024-09-18,1464.1522884024148,1476.10455198121,1454.7399294679985,1457.6282958984375,8574714,824.7765131575844,838.1211584780381,824.4065144173259,836.0985107421875,40917342
2024-09-19,1460.4171894563083,1470.6264144806405,1449.7598031867433,1463.82861328125,16955902,838.2691083056365,848.0370989791965,838.2444778560398,842.8571166992188,30651776
2024-09-20,1468.136427109257,1489.0528890965668,1465.5218693608433,1480.0140380859375,30897320,846.8037464482039,860.8390072921377,842.3884524296358,858.989013671875,60623386
2024-09-23,1485.0687739665293,1495.5270047691104,1483.026880271187,1487.434326171875,8832314,862.8370332933276,871.3963251528371,858.5203814686755,868.1650390625,26965350
2024-09-24,1482.5786761041754,1494.530939532627,1481.9561623839436,1483.4501953125,17137444,870.7303607683197,878.9443447710721,865.4270455398441,872.2350463867188,33039036
2024-09-25,1477.9970102640052,1490.5468626388433,1474.3116560624171,1488.0069580078125,7069002,868.3377295053485,882.0770041306025,868.3377295053485,877.6863403320312,31965312
2024-09-26,1484.7202013028073,1498.017070530802,1482.1305684499498,1491.9910888671875,18818998,874.7016745924757,882.0769584056752,872.2350164313859,879.832275390625,31899644
2024-09-27,1493.0369361114394,1527.3747692811157,1486.0647823070499,1520.1038818359375,20597478,876.6503703689774,877.2423442796407,863.3304153886946,864.6377563476562,35613502
2024-09-30,1513.3558880158446,1518.9086621673466,1468.5348969230117,1470.701171875,27008814,862.738402689165,864.0456833682003,850.701098537286,854.47509765625,26383534
2024-10-01,1474.7599230273088,1482.0308103038055,1457.0057588364782,1458.997802734375,16431642,850.5037447767241,859.3837142697525,848.5797393423385,851.5890502929688,24572284
2024-10-03,1430.8602791168494,1443.634334423912,1396.4975195620746,1401.3780517578125,37757294,846.3844351066934,851.5644172954591,825.5164827720641,829.7838134765625,48473398
2024-10-04,1398.34020617394,1411.711728297617,1376.2782950115372,1381.0093994140625,37072876,826.083866681385,834.0511850540141,815.4772359655595,817.771240234375,48683232
2024-10-07,1387.9566419173104,1390.9447078848398,1355.9594355150189,1365.272216796875,22181340,815.0824984433904,818.4371776300311,795.7439225540929,798.1119384765625,94458296
2024-10-08,1367.513224520688,1395.4267642320656,1359.669551595401,1391.791259765625,17020808,804.1305430330278,817.351854577489,800.1838900610866,814.5151977539062,29734406
