,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-06-20,394.70671932417883,396.98717382381864,392.33316337570244,394.00860595703125,15147549,1448.280730003189,1471.9554798675892,1439.446094050177,1462.8726806640625,16113776
2024-06-21,395.59096381210924,395.87020914994883,389.58727754803,390.56463623046875,26176371,1462.7982011333013,1463.8652545834836,1429.9909727182371,1443.515869140625,31170360
2024-06-24,390.9369661412327,394.61361787534224,390.9369661412327,394.00860595703125,9723008,1434.9045699529108,1438.8503408924523,1426.9385064042085,1430.88427734375,8878386
2024-06-25,393.72936061017225,394.66016859976054,390.7042715187919,394.00860595703125,10655609,1432.3982039886682,1445.2282918111714,1430.4128980926341,1443.46630859375,7045386
2024-06-26,393.72935968027775,396.89410093743857,392.8451024171962,394.6136169433594,11511714,1435.425808927042,1507.8149506909176,1434.5075565031482,1502.9013671875,22014882
2024-06-27,394.6135952603717,397.6852643999609,391.96082361688974,396.1494445800781,38438054,1502.6283145931025,1526.2038207675607,1494.9352546835423,1519.304931640625,28383030
2024-06-28,396.05635546638285,398.38336062952527,394.19476903576367,395.4978942871094,18554411,1519.7764812043604,1569.3842873036351,1519.7764812043604,1553.89892578125,28957336
2024-07-01,396.8010483258212,400.47770023042045,395.2651988468778,399.3607482910156,13391362,1551.0450507194453,1567.7960689891884,1544.2454023527885,1548.6875,7724306
2024-07-02,400.2449871714336,400.84999908994706,393.3104927215312,396.0563659667969,11177863,1557.968834801107,1561.9394466769938,1545.5606726889605,1553.6756591796875,7749246
2024-07-03,396.6148682361784,399.919202771963,396.05637752597346,398.6626281738281,7435499,1554.8170660210362,1563.4283787351976,1531.440162014497,1541.019287109375,9049620
2024-07-04,400.24500559718945,401.64120289640215,397.4991322255142,399.3607482910156,9478861,1545.5606622734106,1555.983518377374,1539.4062623766438,1542.6075439453125,6837176
