,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2024-11-12,4001.534781984057,4003.4330432658335,3952.512277070728,3983.880859375,1587640,444.5511987476186,444.8769653271345,438.54751214101316,440.1298828125,5236095,1553.4338955946112,1589.6196935587504,1535.5070378654027,1554.4971923828125,5430138
2024-11-13,3965.5627399649757,3983.2639333566435,3920.9058661849585,3939.224365234375,1098813,437.5236321065983,441.8518465898786,435.84818948406627,439.52484130859375,11548660,1574.218406775229,1591.314511616975,1479.2346517740673,1492.559326171875,10943595
2024-11-14,3924.6555443578186,3948.383812461554,3907.0493548019417,3935.0009765625,1825432,438.5940712100893,440.22296313830753,430.2633791633469,433.70733642578125,12087836,1494.9516554764703,1550.1110606846578,1493.6225952840468,1511.167236328125,5635623
2024-11-18,3998.6875479838523,3998.6875479838523,3787.221186498161,3815.03076171875,3313944,433.7538681362016,435.42931071742356,430.03066567791126,434.26580810546875,8448573,1516.5503049082185,1575.032483128889,1485.9302032682886,1563.7347412109375,7523148
2024-11-19,3815.4102345767187,3921.9501508023773,3809.9054621443674,3834.060791015625,1776233,435.6155089819328,440.96760360254876,433.9865875323155,435.0104675292969,7121472,1577.690638813534,1614.2421046748896,1559.6143500842409,1570.8289794921875,6986577
2024-11-21,3839.1386042394874,3884.2698145282143,3819.3018656674813,3865.6669921875,2384347,429.09984555266027,431.9387906655465,423.88734455857747,425.5162658691406,20313155,1575.03246498488,1600.9507207377958,1518.5439994189044,1560.1295166015625,7241706
2024-11-22,3863.9112312507355,4038.504015740722,3847.776008717878,4028.680419921875,3096553,424.631975165262,443.5272615925996,423.98041254708403,441.8052978515625,20214206,1570.0481743182547,1589.8856327310723,1548.815093190961,1568.3701171875,4594842
2024-11-25,4062.280140200796,4107.933427922923,4035.894487284092,4095.5947265625,4052167,445.85427840836786,448.83284624094614,439.7109988473268,443.8065185546875,14427013,1608.2609520154365,1646.473681803722,1524.2426189169291,1557.3548583984375,36848079
2024-11-26,4101.240893559863,4144.47407361588,4090.7531850402665,4131.28125,2060669,446.7851008259381,449.25172877480986,441.29338372266824,443.9927062988281,6791715,1527.8479158227647,1548.117361634935,1459.3971779997069,1472.3895263671875,13147269
2024-11-27,4137.213672581404,4154.724856872267,4104.088638616241,4112.15625,1558993,444.4580764325498,446.878183051745,440.2694848220805,443.9461364746094,7339184,1481.3279642304883,1494.9516218588603,1422.1811364020461,1487.3922119140625,8957277
