,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-25,1079.7435455818988,1138.4400635861748,1072.5315589664726,1134.3221435546875,42401936,3054.751139558402,3071.6929923228795,3046.014285380131,3056.525146484375,1849619,1526.0998642017403,1549.6197123932054,1523.3618176709108,1546.20849609375,4476260,720.4956996177941,729.294993262682,716.7857039376246,725.7990112304688,10251652,732.2677527313655,732.31624186587,722.9555299001058,728.5331420898438,17749726
2021-11-26,1122.8786907081894,1127.3378152568512,1092.7114193284249,1097.7620849609375,15763138,3037.9872931567247,3095.642526457509,3026.3674595161992,3057.368408203125,1941251,1528.389141676943,1542.572828384158,1511.7366542942677,1518.6041259765625,4494181,713.4562095804424,716.6429574254157,706.321647484638,708.6522827148438,18624936,716.8444114844465,719.802959122451,697.0559899751541,700.548095703125,18987552
2021-11-29,1109.820013179238,1137.530255730691,1091.6194414696517,1110.9119873046875,24325354,3057.634146477923,3130.546010236377,3021.5331459445556,3106.286376953125,2981745,1518.020294608016,1536.8721137604516,1498.4054475493863,1522.822998046875,3942776,710.983003439544,717.0949340909893,695.3820692229132,714.0508422851562,12990996,704.9617000159554,705.9317195550211,689.1988825061388,696.862060546875,15878074
2021-11-30,1122.9695939867834,1126.5642137673601,1086.9553960411952,1094.48583984375,32172299,3096.529310296403,3161.0588168343756,3096.529310296403,3130.368408203125,5588446,1530.1842942257836,1552.9411117960724,1526.1446185772156,1537.4556884765625,14808963,711.0780789007943,727.2497542737889,707.058965157582,710.388427734375,25221542,695.2614811417723,710.3452726237059,689.7808472490506,692.9334106445312,23965914
2021-12-01,1107.044315866843,1125.699825172228,1103.4496957163708,1122.5147705078125,10104610,3135.5576874510098,3184.3428848512376,3135.5576874510098,3173.521484375,2102118,1539.5653345943017,1563.7136407678477,1537.769923125387,1539.4755859375,5193264,711.0780553091722,716.8095103506997,708.2717824753072,715.66796875,8677634,694.9220306508784,710.7818266420423,693.5639795961246,705.8832397460938,15214913
2021-12-02,1123.7431517479451,1135.800961053092,1120.0575440347766,1129.7265625,12720411,3183.633570609974,3235.789430397502,3170.239944950322,3231.265625,3152938,1539.5654663452515,1571.4340226456925,1536.2888182174336,1569.4141845703125,5559574,715.5966817276724,727.1546972193483,713.4563127893044,725.7039794921875,11203110,702.8761220492831,705.3011708545943,693.7579740644888,700.7421264648438,21924640
2021-12-03,1136.801959680644,1136.8474535768446,1092.0287445657639,1095.7825927734375,19222481,3234.414062333308,3251.7106316157765,3220.5769368394936,3229.092041015625,2486263,1589.926680297916,1603.8860489685592,1555.3201883320971,1558.0133056640625,6754012,725.7277436410184,730.5554179694886,716.8095402344054,719.9011840820312,8124694,698.8990448845714,707.6292203237957,693.6609159389202,694.824951171875,20130259
2021-12-06,1099.3091917377637,1103.4042449873536,1072.5316957069635,1075.011474609375,10332254,3229.091829206644,3244.658783850488,3124.026308562444,3136.799072265625,1849642,1553.0308366320087,1556.5767302580853,1518.4691677243022,1521.8804931640625,3991449,719.6395135046063,722.3982341371078,712.1957752655638,715.263671875,7029532,697.4440401239817,705.0101805958118,686.2888155601072,688.27734375,20129080
2021-12-07,1081.1768723394634,1093.8488493527543,1073.8284038337267,1083.7703857421875,11235122,3159.950519210043,3191.439148945329,3126.0670229182915,3179.464599609375,1484458,1527.0872657475893,1548.452706939299,1520.7135766875624,1536.55810546875,4202122,720.0914346536905,728.6767155251968,718.165137442202,725.68017578125,12427534,695.5040689548945,718.7360507422161,690.6539708450276,712.6249389648438,30513303
2021-12-08,1102.9947640848918,1106.4982760975693,1094.8955253046402,1100.2646484375,8744178,3194.0999357691167,3234.414205727127,3194.0999357691167,3217.0732421875,1428660,1555.724140653463,1579.782699760564,1555.3650364192983,1573.992431640625,3029169,730.5792826149977,739.6402012391072,729.6280075074261,739.045654296875,15295534,725.4776366777609,736.0508141264423,721.7915150664559,730.812744140625,33432411
2021-12-09,1107.9543482561612,1126.1093048249602,1103.404235637729,1117.71435546875,13213547,3202.083160936307,3224.036501167103,3163.055000526003,3194.765380859375,1567957,1579.0643354763217,1588.4004967272194,1563.8033384876364,1583.05908203125,2082171,734.9551101766141,739.4736668471489,723.9203423741131,726.2271728515625,11747744,736.2933133542538,740.12490234375,725.9626408696174,732.36474609375,16007459
2021-12-10,1110.343003210938,1122.0596079618992,1105.8383850496557,1118.851806640625,8364414,3179.907906529748,3230.467111738171,3171.12665750973,3225.854736328125,1510718,1579.962097662356,1583.3284941772615,1567.394217340042,1579.288818359375,1823469,725.2996212566436,726.7740858657247,717.4753496970789,724.181884765625,7779384,733.8198119392496,737.0208647107474,728.5331933895731,735.2748413085938,7627774
2021-12-13,1125.4722255996962,1125.7451889893634,1093.8487910647625,1096.419677734375,12901733,3237.562649111005,3248.2066906971236,3194.7203384161626,3201.77197265625,1883864,1586.2911275859171,1590.151196897316,1560.9309379387585,1566.1824951171875,4040584,725.8227874165515,731.3639756168698,716.8807796550856,718.7595825195312,10322142,740.124828227319,746.6239702769257,729.9396241691448,731.3946533203125,16855546
2021-12-14,1082.928707386146,1094.759048101236,1079.9256283033458,1082.9969482421875,12991523,3197.6475335147647,3224.2576378158583,3172.5452918133496,3214.3232421875,1747007,1553.8390344217205,1582.6553694878078,1535.3911358845291,1572.915283203125,4768144,714.6453260949929,721.0664321863622,712.0531250085195,714.6215209960938,9191100,728.5331505780205,741.4343983870167,723.925557845858,735.9053344726562,17488089
2021-12-15,1084.7486582787296,1094.3039423247055,1074.3288697386265,1079.8345947265625,9366969,3210.952476293671,3213.6134866331413,3156.0912265068364,3166.912841796875,1603233,1566.4965354752162,1569.144723607344,1545.1310947683974,1556.80126953125,3053149,714.8831502685547,724.5623616157026,711.3872263156126,713.4562377929688,10115148,734.8867854867298,736.7298463090547,728.3877018828672,729.6972045898438,7358740
2021-12-16,1094.6224774471195,1099.081602295255,1077.7643377277357,1093.803466796875,9761279,3177.2465604843114,3200.7077599220047,3166.602518405637,3176.891845703125,2072320,1582.341308541618,1595.7619677605696,1578.166954237482,1590.375732421875,4481031,719.5444151143828,721.5420693396168,710.6024071149554,713.5037841796875,13210432,735.1777572606818,735.1777572606818,716.7958770315599,718.929931640625,14123215
2021-12-17,1091.1416846044397,1095.669050195776,1055.627915388533,1064.9329833984375,21049821,3195.4305722072777,3238.7607860882194,3169.884824391468,3179.33154296875,4333992,1633.8241303885395,1653.5736528437856,1621.9295316370844,1634.587158203125,18887243,712.0293118733335,716.3100492192655,698.0931104004245,700.6378173828125,14994768,719.7544271440265,719.7544271440265,704.2826051777031,706.4651489257812,13227787
2021-12-20,1054.649722259051,1054.649722259051,1022.4576084103483,1036.2218017578125,14325846,3183.4560577063917,3198.53511955677,3113.515734208334,3154.983154296875,2312310,1617.3965672413594,1642.4875112060606,1604.4696908187657,1614.883056640625,5773891,690.6256885800706,693.4795137394923,672.599014710812,678.0926513671875,21156668,696.5710292424409,698.6081058617633,677.2676753307227,688.6654052734375,16900016
