,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,
2010-08-04,210.48443647978138,211.0986868294002,207.3210355615056,208.03765869140625,18318233.0,299.08672914574174,311.9660619797689,299.0330565245767,310.82122802734375,5583934.0,238.6780946087601,247.40396043316636,238.6780946087601,245.90687561035156,9536024,93.52491335759531,94.14398809929679,92.47247954929415,93.51606750488281,14734700
2010-08-05,208.8361848810348,209.60399436860297,205.78538048217044,206.19488525390625,18308022.0,311.96619826577694,315.6869047776191,309.69443479946335,314.05908203125,2912950.0,246.37727901455085,248.66996064917953,244.79892874799603,245.4576416015625,6594296,91.3139195977855,94.07323853188973,91.3139195977855,92.87266540527344,14710560
2010-08-06,206.57369679423056,206.81939147863974,204.44428819097007,204.77188110351562,19955917.0,314.82817442629107,316.0803319382138,307.9055409161615,309.3544616699219,2437734.0,244.75188690444475,247.4038647073241,243.98195786489913,244.99142456054688,3676480,92.56314200638748,93.30382538200614,92.04135134016407,92.45038604736328,10920880
2010-08-09,204.75137620489852,205.97989044867973,203.11337088111677,203.4409637451172,22253619.0,308.0844541652438,316.1519226477034,302.70015880796507,314.7745361328125,4259986.0,243.68252310212537,246.62535441600696,240.92361091323875,245.91958618164062,4201544,92.41940314095069,93.03405823165689,91.59470125323386,92.06564331054688,5236440
2010-08-10,202.90862013205967,205.24278772500236,201.9462887180876,202.27389526367188,19989721.0,316.61696319844833,316.61696319844833,308.1738529141805,309.28289794921875,1545194.0,245.52183471972089,245.52183471972089,240.81671245157293,242.01866149902344,4811984,92.21820018497456,92.958883337741,91.52395268995036,92.64713287353516,14694540
2010-08-11,202.66291689244198,203.70714648161243,200.67683048403416,201.32179260253906,21917268.0,308.3886260457911,312.32397974243116,305.81275380444623,307.0112609863281,4020248.0,242.44210195626923,244.48668295865747,239.5334811141686,240.4659423828125,5344800,92.90581729083458,93.43866002795312,91.88654722990177,92.39728546142578,14670160
2010-08-12,200.6563612823265,201.32179797256777,198.6088374894169,199.1411895751953,24910354.0,306.5638940766577,306.5638940766577,302.73586593405344,305.3296203613281,2278092.0,239.19135506898445,239.19135506898445,235.5983518812529,237.19808959960938,6973400,91.84013307990385,92.10102836398869,90.56218072097394,91.67430877685547,9938860
2010-08-13,198.7112539737678,203.48196258046565,198.7112539737678,200.47210693359375,30512197.0,306.59969050233275,308.7104789029252,299.8022644585237,305.6695251464844,2589906.0,237.39475226550368,239.36234841040695,235.68379909602257,237.5872344970703,5561808,91.161355459834,92.92351528762856,91.01542926642949,92.31107330322266,10499860
2010-08-16,200.65637553434325,203.09291603643518,199.6326203991377,200.02163696289062,14028775.0,306.59958299430866,308.58514185422433,303.66595367899475,305.56207275390625,1319098.0,236.1115766628462,237.65143477151693,235.2560999358069,236.27410888671875,5193608,91.90646099929681,94.0511247052875,91.5527011331921,92.15409088134766,7186680
2010-08-17,200.65638435885273,201.6699022606375,198.60886033046725,198.74195861816406,14788743.0,304.1310810963709,308.0306650326494,301.9487587544205,304.1668701171875,1733196.0,235.68386899625315,237.52314419894626,233.54517690009843,235.2989044189453,5140640,93.2153617753881,94.45351781743385,92.02584779473226,93.79242706298828,20131820
2010-08-18,199.22310638185286,200.04210225131808,196.2234883932292,197.50318908691406,24859327.0,305.168729455549,313.32563837276155,304.0954513918132,311.6441650390625,2888916.0,236.5478607386109,241.20164543693366,235.95328774854775,240.1536865234375,6128144,94.18819934808958,97.23936367026175,94.18819934808958,96.92761993408203,38844340
2010-08-19,197.31892028826786,201.65964901608865,197.31892028826786,200.0830535888672,20662946.0,312.6816132402862,315.1501610265407,310.2846216777872,311.9839782714844,2148534.0,240.8167659374744,241.6722429035045,238.50269656722932,239.9270782470703,4826744,96.62028941376049,99.03026782311184,96.62028941376049,98.61681365966797,20763920
2010-08-20,200.08306986721158,203.40004376572034,199.12073835554327,202.42747497558594,20996195.0,310.89279204280547,314.792376649736,308.74623651661807,310.8749084472656,1746396.0,239.79019179552307,239.79019179552307,235.59835469313967,236.9329071044922,4624824,97.79433475713036,99.04354322525987,97.51354135108836,98.66767883300781,8398140
2010-08-23,203.1236278704157,203.1236278704157,199.75546773505968,200.02163696289062,13543428.0,307.6730922341882,313.20047947929663,306.6176976087627,311.393798828125,1049830.0,237.13808601721243,240.38889672019008,236.22273033850533,239.80288696289062,4511832,97.85181937017862,98.52174929840896,96.53185762080496,97.13324737548828,8194860
2010-08-24,200.0216325792182,200.86111669214267,198.0560205758334,199.10025024414062,19276160.0,311.2506017118584,315.5079462627351,309.461805150296,311.50103759765625,2650474.0,238.592502837823,238.592502837823,235.70098679410015,236.5607452392578,5247552,97.13323477752388,98.16797669629625,95.51920768880248,97.66608428955078,10680280
2010-08-25,198.60884010404627,200.21614732773455,197.68745780208894,198.15838623046875,18620473.0,311.96607364530433,315.36478660359603,309.92684150315085,311.67987060546875,2379968.0,236.28267093588977,239.01591488924308,235.7651033412475,237.04403686523438,3502008,97.3278031538903,97.94687778630805,96.33506384497485,96.94087982177734,10591220
2010-08-26,198.60885869001274,199.223122727419,195.54783045305425,195.83448791503906,27834839.0,312.68168191860826,314.47047872592293,307.76249069849285,313.5760803222656,4204428.0,237.39480406227804,238.07490391840489,235.02941914363458,236.5949249267578,7834984,96.33729279474656,97.89603863222901,95.80223004458198,96.32624053955078,20388100
