,TCS..NS,TCS..NS,TCS..NS,TCS..NS,TCS..NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2024-11-04,,,,,,860.8637106769045,860.8637106769045,844.0411138190809,845.6197509765625,28089248,1280.221658871375,1281.908714624808,1260.3252547322475,1267.42041015625,14309121
2024-11-05,,,,,,840.1437747820238,869.5956493162819,837.6277954866241,867.2030029296875,44232406,1263.2526375453915,1291.3359928673021,1253.4284176295798,1286.7711181640625,16431920
2024-11-06,,,,,,873.9369881601011,873.9369881601011,861.0363539084846,865.9203491210938,27787910,1290.2940335374446,1304.9310933295442,1282.8017951557133,1292.3779296875,12037405
2024-11-07,,,,,,860.5184217555121,868.7323455565536,857.4104082699865,861.62841796875,18895456,1287.2177364325325,1292.824498565034,1265.4854006783698,1268.908935546875,9909035
2024-11-08,,,,,,864.3169963876733,869.15167034177,861.2829948869464,865.525634765625,19902986,1260.2755859661174,1265.2373008714958,1243.108003939261,1249.2109375,11195808
2024-11-11,,,,,,865.5750573030832,879.5116762015548,863.9223481240455,871.3717041015625,24565362,1252.3369021242906,1266.1304944492979,1237.1044608620273,1259.5810546875,8387780
2024-11-12,,,,,,874.1837241378527,875.6637191561447,842.931174712482,847.6424560546875,31395406,1266.3785236970411,1285.084164724792,1254.817703702316,1260.8709716796875,13486168
2024-11-13,,,,,,846.9270867373347,853.1677439816382,825.3438276461692,829.463134765625,35728500,1260.8709623351128,1266.477724382224,1240.4287212362626,1244.100341796875,12260404
2024-11-14,,,,,,825.39317914741,841.05645917869,824.8998474928816,835.087158203125,27146470,1244.149990424334,1257.993126310203,1233.5319691696748,1247.325439453125,9506892
2024-11-18,,,,,,838.6637692715708,847.987749103584,836.1971111266544,841.1797485351562,27081968,1250.3521900785158,1252.9322576721884,1239.8333784208526,1243.852294921875,6195554
2024-11-19,,,,,,845.5704607570133,865.1803941380466,839.9957889401087,859.507080078125,50981272,1247.4248442373848,1251.3445507199667,1231.3488145998942,1239.53564453125,11537317
2024-11-21,,,,,,863.0343691875372,867.7703408111802,855.5356922473849,858.989013671875,35716512,1238.9899233393824,1247.2759633109613,1223.1124350544421,1240.974609375,9593870
2024-11-22,,,,,,860.148374275574,865.4516892160756,853.2417315623627,861.15966796875,24773612,1248.3675121917486,1271.588362957257,1246.3828261628269,1268.2640380859375,11604338
2024-11-25,,,,,,880.6216480727867,889.7482832055338,870.6810037082952,880.8929443359375,427737274,1286.0765977985961,1301.160163762971,1280.1225394754547,1290.9886474609375,22717581
2024-11-26,,,,,,892.9302818593218,892.9302818593218,873.0983737208503,880.8683471679688,30935566,1300.5647702425501,1304.1868465830694,1292.4771502005863,1294.9580078125,7646955
2024-11-27,,,,,,883.0143007972586,896.5562300169572,880.6709755435701,894.06494140625,32714976,1288.5573723920809,1300.812784090288,1287.9123252215186,1290.740478515625,21938082
2024-11-28,,,,,,897.3702251985009,905.8061839354122,882.07694483503,884.6176147460938,35722392,1291.0878806767676,1300.4654733696732,1272.4814498292426,1276.5003662109375,22803745
2024-11-29,,,,,,888.6383310231244,890.2662893460416,879.561016559754,886.04833984375,27669536,1273.275310189296,1293.2710463550777,1273.275310189296,1290.1451416015625,11397228
2024-12-02,,,,,,889.7236388960249,892.0176431336934,875.6636867426915,890.3156127929688,15110876,1289.946649219065,1300.5151260626694,1279.2789623057151,1294.6602783203125,9626400
2024-12-03,,,,,,899.1955156163089,906.4475265301775,895.9395389832724,900.9715576171875,43410242,1293.9655928118616,1302.747925178162,1286.1757245707627,1298.381591796875,11509276
2024-12-04,,,,,,906.7435619082082,920.0635162996781,903.3642521901575,917.6461791992188,44669084,1292.625936747851,1309.8927287632168,1291.7328038420255,1305.9730224609375,11570281
2024-12-05,,,,,,917.596875706611,927.4388181075851,905.3622266087298,920.4335327148438,39682714,1306.171532833215,1332.6174992065928,1298.5800843127004,1326.2664794921875,19210697
2024-12-06,,,,,,916.1168429341786,919.6688066050771,909.7035317020062,915.5494995117188,17783156,1332.2205223736623,1336.7852761002946,1316.5414539912906,1318.5758056640625,8942672
2024-12-09,,,,,,914.4642517338581,927.4635290462065,912.1702474502318,922.5302124023438,26947912,1311.9766296210685,1318.8734860133875,1310.1408193352056,1312.1751708984375,8000764
2024-12-10,,,,,,926.3288062229569,926.3288062229569,916.881553393078,921.5928344726562,13325480,1308.9004164217674,1321.8008754160685,1305.1791301734115,1320.2626953125,8218214
2024-12-11,,,,,,918.4354833328279,923.4675021564423,915.9935158212785,919.1261596679688,14045426,1314.5567183054773,1321.0566133833202,1305.9233826947975,1317.3353271484375,8138066
2024-12-12,,,,,,913.1568815747593,921.864197216933,912.0221946944998,917.2268676757812,17293790,1311.4309069614158,1328.4991576758143,1311.4309069614158,1319.0718994140625,9076896
2024-12-13,,,,,,918.8301759997277,924.9968214762359,902.4268990322158,923.3934936523438,19009002,1315.201818050664,1336.8349446817394,1303.4425773055236,1334.6021728515625,13536684
2024-12-16,,,,,,920.1128492893367,922.5054957499956,915.2535445762154,920.1621704101562,13107082,1334.6020835708346,1340.1095143687996,1329.7892443970975,1335.7928466796875,9071006
2024-12-17,,,,,,915.7962178924912,918.7562078618506,901.0702798391582,904.4002685546875,21079532,1331.7243053318298,1337.7775734016686,1315.8964829440192,1323.5374755859375,9879257
2024-12-18,,,,,,902.7229483325016,905.7569501607671,891.5243434620028,893.275634765625,23422312,1315.1026301384318,1324.728309292061,1297.4388753521955,1304.087646484375,8510595
2024-12-19,,,,,,887.7995941182149,888.5395915672278,877.6369745293333,884.790283203125,25380770,1276.1531316977298,1293.0229631431896,1274.614951552865,1277.0462646484375,11517304
2024-12-20,,,,,,879.2156362475025,886.7883251977108,871.7417099804251,873.93701171875,25692348,1274.1187908536028,1287.8131731856893,1262.657301485049,1278.5347900390625,58491181
2024-12-23,,,,,,879.1169941259847,890.956953642833,878.7716860618692,888.4902954101562,11044592,1284.736921667357,1296.992333800165,1277.1951389037538,1286.8704833984375,6827512
2024-12-24,,,,,,889.0083275055933,892.2889348142179,882.8416818560752,887.0596313476562,14485834,1286.8705106850512,1294.5115036860577,1280.3706152786017,1287.3170166015625,7138516
2024-12-26,,,,,,887.2816657547127,893.916952377888,878.5003382709294,883.4336547851562,10481678,1296.9922716557783,1302.6982437766815,1279.3285182011693,1287.4161376953125,7338444
2024-12-27,,,,,,885.4316968356189,890.9322967259654,882.6196702111419,887.1336669921875,7259330,1288.6071205266592,1305.8737927483876,1288.6071205266592,1297.5382080078125,4756066
2024-12-30,,,,,,884.1489668763874,895.3969526845203,873.6903598921683,877.0943603515625,22222218,1294.957999087405,1316.343040012265,1279.576681997175,1284.7369384765625,14207425
2024-12-31,,,,,,873.3450067875037,879.0183205202264,871.0263119988338,874.6029663085938,14117236,1277.0462265132433,1280.0727999714104,1270.2982456823183,1271.83642578125,8449607
2025-01-01,,,,,,874.8989910757854,885.0369805772112,868.80635723923,879.4869995117188,7313806,1271.8364809130148,1283.0995501851953,1257.3978412327829,1273.8211669921875,4705399
2025-01-02,,,,,,876.699651347947,889.6989281059142,874.6770036544534,884.9136352539062,18558576,1275.26000882058,1283.4965044573805,1268.6113589467466,1280.7178955078125,7433222
2025-01-03,,,,,,883.5569553072743,885.6536147489581,861.5050553855514,862.9356689453125,24426194,1276.3514823434055,1278.1377481475479,1252.5849166143184,1255.363525390625,11194997
2025-01-06,,,,,,858.4463541498661,866.8823129474961,841.5251154360177,843.84375,18816348,1258.3406039432266,1267.9662826986646,1247.3751652140256,1254.4207763671875,7504047
2025-01-07,,,,,,846.063732614296,849.0237223493897,838.6637582765616,845.2744140625,13527906,1256.8024602237333,1279.0805130186131,1256.8024602237333,1269.454833984375,7539758
2025-01-08,,,,,,842.7338203435289,844.4111600559388,830.4498497882179,835.8518676757812,19738190,1270.7448974492877,1275.1607754157394,1242.7607517198803,1254.073486328125,7566309
2025-01-09,,,,,,830.844525028491,833.237171528912,817.9932112311335,822.778564453125,40420222,1248.3675530849682,1255.0658686519982,1238.543332692866,1252.73388671875,8684920
2025-01-10,,,,,,824.3571854708366,826.2811909461473,815.9705474379197,817.3272094726562,17453280,1249.359870144571,1255.264262696962,1233.5815917988612,1240.2799072265625,7854524
2025-01-13,,,,,,809.0639234971638,812.3939122066796,801.3186405131205,804.5499267578125,21669066,1225.4444532249365,1234.4250851207983,1215.5210227528514,1220.3338623046875,9669336
2025-01-14,,,,,,809.0145872775671,817.0558570637163,807.5839134440961,812.3198852539062,26661432,1223.9062438907645,1235.3181886617992,1218.0513958245872,1230.8031005859375,10342698
2025-01-15,,,,,,817.2038902170349,820.2625224034592,807.2386148292592,810.568603515625,14022892,1224.551219155373,1234.8716102214069,1220.5818472942535,1228.7686767578125,5355382
2025-01-16,,,,,,815.4032351586193,819.2019251337407,810.4699184801376,815.0086059570312,21212454,1235.56627244332,1245.8866640990627,1230.1580514277643,1239.53564453125,11895924
2025-01-17,,,,,,810.7905598983193,814.2438814190301,803.3905852110819,807.4605712890625,23112076,1233.8296138721637,1239.4363759086416,1208.6737436803246,1216.066650390625,9790533
2025-01-20,,,,,,802.1572673696536,819.3991845447669,802.1572673696536,814.6138916015625,17557618,1214.5286456993424,1232.2419443689244,1205.944854354206,1223.50927734375,7676418
2025-01-21,,,,,,818.0672195171876,819.4485722440602,805.6352858599316,810.2479248046875,31158144,1227.4786100806577,1229.4632960558952,1183.567432878532,1186.9910888671875,20520898
2025-01-22,,,,,,810.2479165643738,824.8012002853578,801.8859089377631,821.9152221679688,30619306,1191.8038937223043,1198.2541229556057,1182.6743869540314,1191.258056640625,10377123
2025-01-23,,,,,,832.2505181334424,832.2505181334424,814.6139111249832,821.347900390625,34909158,1188.0826742078204,1198.6511515402387,1176.9188152937772,1192.5482177734375,8770650
2025-01-24,,,,,,818.9305795964561,824.0119199318104,811.2839386423929,813.8986206054688,24236200,1193.8878937592276,1208.6738293636251,1192.7963406363526,1199.941162109375,9216792
2025-01-27,,,,,,809.6065327196525,810.839861804967,802.157237088582,804.0319213867188,22804166,1185.8499521739243,1225.1963785798748,1183.9644761399952,1218.547607421875,16164687
2025-01-28,,,,,,812.5172453545283,830.9185403912116,812.5172453545283,824.0612182617188,30179312,1237.7990449684048,1254.3215805212242,1226.535975889425,1237.3525390625,18066499
2025-01-29,,,,,,826.3304621132276,829.3644636153648,823.2964606110903,827.4651489257812,12619890,1242.4134579383835,1246.1844098592185,1233.5320363858045,1242.066162109375,7666777
2025-01-30,,,,,,829.2905374831995,837.6278547525732,825.1219089590883,834.4705200195312,25744846,1240.428743300886,1250.203297570973,1230.0091418571585,1245.98583984375,11921041
2025-01-31,,,,,,832.3738053097981,840.9824182950722,830.7457868177106,838.047119140625,15821686,1244.8943321590757,1246.3828467053002,1229.6122252573796,1243.2073974609375,10195417
2025-02-01,,,,,,837.4305042201771,845.0771450539991,826.8485640579613,834.1991577148438,5587528,1241.5699459496786,1251.6917959101459,1224.3528194419691,1245.936279296875,3011914
2025-02-03,,,,,,823.8638327488314,832.1518283284162,820.6324864421063,827.8104858398438,20276540,1237.3028281264465,1250.3521626222068,1228.3221967826344,1243.40576171875,6176831
