,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS,LTF.NS,LTF.NS,LTF.NS,LTF.NS,LTF.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2002-11-28,775.8568075409769,791.9402625294176,775.8568075409769,788.0892944335938,273.0,,,,,,,,,,
2002-11-29,769.2876073159757,787.4098124353155,769.2876073159757,772.9120483398438,230.0,,,,,,,,,,
2002-12-02,768.4722489567404,790.1283107894347,768.4722489567404,785.7789916992188,126.0,,,,,,,,,,
2002-12-03,789.1764883518417,789.221782789367,761.1323737578281,764.439697265625,870.0,,,,,,,,,,
2002-12-04,770.1934571145442,770.1934571145442,761.132357619079,769.3326416015625,303.0,,,,,,,,,,
2002-12-05,770.6466778971915,795.5647068709396,770.6466778971915,791.759033203125,1007.0,,,,,,,,,,
2002-12-06,788.3159272053687,792.7558896068635,781.9731553772795,790.3546752929688,422.0,,,,,,,,,,
2002-12-09,779.2546753256959,788.3157762015761,770.1935744498157,774.1804809570312,1458.0,,,,,,,,,,
2002-12-10,764.7567389362727,783.1507584445629,756.6017500139665,782.0634155273438,758.0,,,,,,,,,,
2002-12-11,792.8462124214456,792.8462124214456,774.7240132803839,776.1737670898438,188.0,,,,,,,,,,
2002-12-12,776.5364683827929,785.5975706976446,770.1936967623967,783.1510620117188,123.0,,,,,,,,,,
2002-12-13,766.5692422860783,783.7853363799736,764.3492611972655,781.7012939453125,399.0,,,,,,,,,,
2002-12-16,783.7852783203125,788.3158290620484,781.0669478752709,783.7852783203125,575.0,,,,,,,,,,
2002-12-17,790.1280950640428,791.9403154655658,783.7853236587122,789.2219848632812,425.0,,,,,,,,,,
2002-12-18,792.8462147993159,804.1272948593731,792.8462147993159,799.0077514648438,685.0,,,,,,,,,,
2002-12-19,798.7361513812272,828.1847332529117,798.7361513812272,819.3501586914062,1675.0,,,,,,,,,,
2002-12-20,825.466206163277,852.6495060369305,824.5600961674886,838.0611572265625,2299.0,,,,,,,,,,
