,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,
2024-02-26,1482.5768223248915,1483.5446346905887,1471.607959051116,1476.3974609375,7513106,3785.0039771663946,3798.1333269385277,3735.065557497388,3752.2275390625,1379284,1576.9400103998594,1576.9400103998594,1548.742584990576,1563.006103515625,2782438,687.9546346452112,698.3210050066913,687.9546346452112,692.213134765625,23506870
2024-02-27,1472.1291493159843,1488.9297276070065,1467.1907251784094,1474.73486328125,10826044,3750.305466004411,3867.531818405149,3750.305466004411,3849.150634765625,2960475,1563.8064346817055,1573.3154092821974,1556.0863043947375,1566.2542724609375,5159088,687.9546948776648,694.3545652339111,687.7113519923358,691.1668090820312,32087150
2024-02-28,1472.1042938560004,1480.3185210789975,1439.5205099276588,1444.930419921875,8647950,3840.8976823678586,3896.509674983892,3834.7080400231876,3862.795654296875,1939225,1572.2798088946804,1589.0382863616267,1564.7950497873524,1573.4566650390625,3188916,691.1667470533215,693.1377886016653,683.3067606806109,685.9348754882812,25321986
2024-02-29,1454.2365988812116,1468.1088998815815,1443.8385832706604,1450.0675048828125,23628976,3844.0855923589133,3880.754077857868,3811.778063459847,3840.42822265625,3772719,1567.5721783829442,1583.8127910418666,1556.5568522895687,1575.951416015625,7814722,682.3820552900959,686.4215706434694,680.0459994144303,683.0147705078125,53295700
2024-03-01,1452.7475417409498,1488.979373154373,1451.7548888255137,1481.1622314453125,12132926,3851.7765458152944,3882.536555650418,3832.645068891089,3839.7255859375,2043265,1571.3382798848747,1574.115614336737,1554.391551881323,1557.875,6387291,681.360036052442,697.2989940386686,681.360036052442,696.3256225585938,34738898
2024-03-04,1479.5243736818861,1501.337897909408,1476.2982516112518,1496.3250732421875,10024420,3849.712918034811,3861.8105844645606,3822.4225351204777,3826.924072265625,1749271,1560.8407342180715,1567.0545116352562,1538.0568453792753,1541.3990478515625,4445156,696.422958130924,699.3674307159147,693.186545384466,697.274658203125,35616474
2024-03-05,1494.7119691573153,1496.3250301461744,1475.1319146195472,1489.1778564453125,7107668,3809.387240696813,3811.2628621841086,3732.4867597177044,3762.590576171875,2070859,1538.386193843857,1541.5401450012134,1508.2586796437324,1512.495361328125,4596579,692.067075174591,702.2874750189414,691.8967470591605,701.2410888671875,37991672
2024-03-06,1482.4775132325713,1497.9133152152726,1467.6373999640691,1491.9573974609375,7805676,3745.662745858388,3818.765041667535,3712.2765944807757,3811.5439453125,1744204,1509.0120236903088,1525.3467635033348,1483.7801827337923,1522.89892578125,6420684,697.688303532932,707.0813018234176,697.688303532932,702.0927734375,42409530
2024-03-07,1491.9325571368477,1492.056638756749,1464.7091224345347,1468.059326171875,8315726,3812.200473461429,3867.5313044415575,3786.598195707899,3853.089111328125,2688905,1522.004404894455,1533.1609775234701,1510.3299696204092,1521.8631591796875,6348359,703.504204064998,706.2053335588424,701.5088045068723,703.7962036132812,49348046
2024-03-11,1478.060156044582,1478.060156044582,1452.7475073010382,1455.82470703125,11277130,3834.707809455719,3894.7276920199565,3834.707809455719,3865.98388671875,2304068,1514.0488079869733,1519.3682201060792,1495.0778662328694,1506.9405517578125,6752895,695.9606385239804,703.7232526512562,692.5538381955413,694.8899536132812,50531094
2024-03-12,1455.8248476863198,1477.0676458601295,1454.2614676999044,1464.5850830078125,9432678,3865.9837495151633,3966.8922650781215,3864.7643209446364,3931.53662109375,4039801,1506.375688833194,1529.9128089712128,1504.1632225256892,1518.56787109375,4614222,697.9073792005341,712.5079519871562,695.5956218426523,710.3422241210938,65418454
2024-03-13,1468.9029635812572,1472.2034859914554,1417.2850129833478,1421.6527099609375,13522134,3943.493961270788,3977.255146194866,3874.9399080779876,3890.9765625,2837260,1518.5208697901078,1529.4420705773052,1505.0105857809417,1517.108642578125,5688997,713.2379447418698,716.2067158438075,705.7429725398497,710.755859375,63067454
2024-03-14,1429.1224321842872,1437.882667347047,1415.0268084821887,1420.9578857421875,18571102,3895.1500154804917,3962.2501875616867,3831.8945009176455,3945.932373046875,2919608,1519.9332218123318,1560.7465686045769,1513.9076955609466,1556.5570068359375,8803799,711.5832127948388,713.4812990740788,702.9202422173576,708.3467407226562,52432158
2024-03-15,1415.4733954219128,1422.694969713975,1402.5193474045138,1407.80517578125,19223818,3931.8648606659913,3975.3791814488654,3917.2349235460983,3956.857421875,3373143,1545.0707498555741,1549.4957975654736,1523.6519697189988,1538.38623046875,11809997,705.6943406988961,710.2205419583659,701.9225261192986,706.9840698242188,143613804
2024-03-18,1409.5671563330236,1431.1325169373013,1406.1177116464064,1428.8990478515625,9169392,3953.106656161222,3990.1501797762785,3861.7639831846413,3894.259033203125,1526904,1534.6203153666463,1537.1152732206572,1505.2930391151203,1508.8707275390625,4958904,704.2343003680048,708.6144722431341,698.7834435762417,703.77197265625,21437856
2024-03-19,1418.252849649116,1427.0378036957165,1406.8373411480031,1414.778564453125,8275764,3799.3053975100765,3805.6356194004047,3719.919817535177,3729.954345703125,8931209,1499.173324716635,1505.4342217324486,1466.8333442521293,1470.0814208984375,6870411,698.6374048635253,706.8624060469253,698.6374048635253,705.3779907226562,36183594
2024-03-20,1417.458614341769,1434.3833942099568,1413.5625245390722,1433.142578125,8488806,3738.113425638154,3768.123367840969,3713.9178639455963,3723.952392578125,1817913,1471.540790852675,1482.7914886121835,1461.5139544170574,1463.9617919921875,4759059,705.2319615530049,706.4973325344582,693.3568181834665,696.4716186523438,43606094
2024-03-21,1441.8532357214951,1447.1887452733042,1434.060934378195,1440.3145751953125,13006936,3741.9116546616547,3759.120343748554,3702.476668668117,3725.875,3829582,1472.4822954464403,1484.6744782005846,1453.087730653012,1463.7264404296875,11062497,702.0928435492851,706.3026871236781,700.0001304926251,703.6259155273438,28922860
2024-03-22,1439.321893152815,1449.2732629085037,1436.716179238339,1444.3348388671875,19527608,3654.6483605203457,3693.098599879169,3615.260310445454,3667.683837890625,5852485,1431.9983895472183,1439.4361424981196,1410.5324900051585,1420.559326171875,14673890,701.3141208411934,706.0593065998343,699.7323922549797,702.2144775390625,45980326
2024-03-26,1434.3835274360674,1441.7291835759677,1428.4276096750873,1430.983642578125,11415906,3634.016313190079,3701.257291825828,3630.68703955033,3636.36083984375,3440925,1404.6953849138222,1419.2412797585116,1400.8353200453062,1405.307373046875,8351081,694.5978614753975,699.8297331586394,692.1401341445468,693.7218627929688,56844290
2024-03-27,1437.3614966588377,1488.9794509587407,1436.368843691532,1481.8819580078125,16326644,3646.6769913107573,3652.772761001774,3591.252286075508,3602.037109375,1968575,1408.4612802603947,1411.2857346994197,1394.8568706833632,1397.022216796875,6857402,692.8215385852401,704.6966236214441,691.7021375713913,701.1681518554688,62168668
2024-03-28,1481.90676076149,1494.8856495085238,1467.786296896486,1474.933349609375,21854364,3610.6650016041267,3671.5288233376846,3601.661927465741,3635.235595703125,4311783,1400.129150066849,1423.3367734843898,1400.129150066849,1410.391357421875,12499530,701.1681292352769,710.8045307526719,701.1681292352769,704.6723022460938,55592142
2024-04-01,1481.509712382751,1482.9986918329437,1471.6080232736622,1473.8663330078125,5013880,3655.3048258696854,3688.690979343402,3646.2550439346555,3673.170166015625,1569676,1435.7644049013911,1440.4247089660325,1405.4486385196594,1407.9434814453125,6580002,709.5878149173326,717.2774734382766,708.4197572494843,715.67138671875,25199570
2024-04-02,1473.0968689675985,1483.0233977342266,1464.1629930776332,1476.025146484375,8910166,3648.0836677291272,3666.6993019354495,3632.140885633653,3642.269287109375,2142666,1397.9636580438985,1405.7780277192792,1394.1977189092265,1396.0806884765625,7279400,713.0675733041284,727.5221149937069,712.1428585816917,720.3678588867188,41225446
