,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2024-11-26,4101.240893559863,4144.47407361588,4090.7531850402665,4131.28125,2060669,892.9302818593218,892.9302818593218,873.0983737208503,880.8683471679688,30935566,446.7851008259381,449.25172877480986,441.29338372266824,443.9927062988281,6791715
2024-11-27,4137.2131813248125,4154.724363536381,4104.088151292946,4112.15576171875,1558993,883.0143007972586,896.5562300169572,880.6709755435701,894.06494140625,32714976,444.4580764325498,446.878183051745,440.2694848220805,443.9461364746094,7339184
2024-11-28,4099.2950249926525,4119.179496263122,4017.669794117596,4028.96435546875,2558544,897.3702251985009,905.8061839354122,882.07694483503,884.6176147460938,35722392,443.99271290031436,450.322166155722,437.9890262279885,442.03802490234375,14967609
2024-11-29,4005.3318228209696,4080.028599301392,3982.2203960362835,4053.59521484375,2017425,888.6383310231244,890.2662893460416,879.561016559754,886.04833984375,27669536,440.4556457729167,445.7612189514994,439.897155069963,443.760009765625,8668142
2024-12-02,4052.788226834513,4070.0625915391006,4014.870268702841,4059.099853515625,1670944,889.7236388960249,892.0176431336934,875.6636867426915,890.3156127929688,15110876,443.061911581005,446.1335515529355,440.6418342849228,444.1788635253906,5689595
2024-12-03,4094.882568586282,4104.990718939741,4048.4701650537613,4083.87255859375,2010905,899.1955156163089,906.4475265301775,895.9395389832724,900.9715576171875,43410242,433.75385818828863,440.641801753041,430.72873966665543,439.8506164550781,23073942
2024-12-04,4094.122934068909,4163.789504813234,4070.8692297125376,4132.89501953125,3302642,906.7435619082082,920.0635162996781,903.3642521901575,917.6461791992188,44669084,441.5726121335174,445.10964113217466,434.1261778472117,434.7777404785156,13957078
2024-12-05,4176.934278953506,4260.647793669346,4138.209931031042,4236.966796875,3746747,917.596875706611,927.4388181075851,905.3622266087298,920.4335327148438,39682714,435.1966056549393,440.0367598846573,430.49604459546777,435.1500549316406,27432375
2024-12-06,4226.479320621802,4237.868889866684,4188.276807112925,4219.36083984375,1842087,916.1168429341786,919.6688066050771,909.7035317020062,915.5494995117188,17783156,437.4770547274369,442.0845437835551,435.33622297900996,438.5474853515625,7842234
2024-12-09,4205.07650413352,4242.0448686697655,4190.934085246633,4225.67236328125,2066639,914.4641912323508,927.4634676846591,912.1701871004972,922.5301513671875,26947912,438.8732783278562,439.3386970836674,430.9149332516241,432.7765197753906,12154116
