,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-05-20,1432.4787356808251,1439.2517336495314,1416.1440727881434,1418.932861328125,11270560,1524.8723866170074,1537.9843466293191,1513.2173110505078,1515.7425537109375,7143998,951.1927398071444,954.3993955236706,943.7434439560598,944.6807861328125,23879090
2025-05-21,1418.235682967954,1430.486680037078,1412.458707007589,1423.5145263671875,6136364,1522.832797268108,1525.8436681268927,1507.4869000940212,1523.41552734375,4157309,950.6500948788123,960.4674068130723,947.739426083267,950.5514526367188,15132040
2025-05-22,1415.5464438973825,1418.1361984129633,1391.3431818014155,1403.79345703125,12134466,1510.7892156499267,1515.9369216042496,1495.7347425913772,1503.0191650390625,6158990,944.828766015395,949.2687509312965,939.895449442171,947.1474609375,21306670
2025-05-23,1401.0045498118507,1428.0964217220903,1401.0045498118507,1421.124267578125,6474883,1505.447258808557,1541.5779455953386,1505.447258808557,1519.8218994140625,5038421,947.2460290070277,955.583345407158,944.4833839865793,953.906005859375,9566072
2025-05-26,1426.3034970063507,1435.2676949623963,1419.430920923106,1429.0924072265625,4842944,1521.5700705826603,1538.275749801986,1517.782147363295,1535.070556640625,3170102,954.5967478346391,961.947401503022,950.6007734925844,957.1620483398438,10802860
2025-05-27,1420.4269591196573,1431.2836233071982,1408.275539274527,1416.44287109375,12640414,1534.4878415209876,1537.4016104009331,1511.6633186280806,1524.969482421875,7775714,952.9194312599001,961.0100826032541,945.3714929245052,950.3048095703125,26162148
2025-05-28,1414.4508509493858,1416.9409060075968,1405.0882196135674,1407.279541015625,5944611,1535.556238237006,1542.063608140773,1524.8724187426308,1526.6207275390625,3623370,947.295443323748,954.3501102535763,946.0621141556768,948.9234619140625,18157594
2025-05-29,1406.4826358531975,1414.3512339364067,1402.996558868143,1412.1600341796875,13771917,1543.3262208282474,1562.6542444112208,1531.2826193070812,1540.02392578125,8609500,951.1433943336576,957.4580633637506,940.9314535555673,950.896728515625,28917794
2025-05-30,1412.3591925541664,1424.9090454066043,1404.0921613404494,1415.2476806640625,13788484,1547.3124739974683,1548.297396005105,1531.652190030095,1539.1375732421875,13148092,953.0674622365118,961.4047794767922,949.8608063918771,959.4807739257812,28748078
2025-06-02,1406.4826830156508,1411.8612262898896,1390.0483195350275,1408.0762939453125,8098668,1536.4782943781508,1536.4782943781508,1515.7949327230604,1530.371826171875,4374509,952.1794133521448,955.0900821550082,941.276795842849,953.1660766601562,14668822
2025-06-03,1416.6421539546416,1420.8253977642241,1397.8173136420837,1399.908935546875,11252626,1535.4933708621093,1543.6682714095227,1512.4461724234918,1519.734619140625,6853403,956.0767204883472,962.9833634640112,947.1967509482078,949.466064453125,24377584
