,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-06-25,3322.7537403887272,3364.3941654870573,3315.634829755361,3359.3232421875,1757699,407.85236743319786,409.5664444107915,406.5790650634376,407.80340576171875,9946718,1411.1117385952273,1417.9589294864209,1404.463088984364,1414.8826904296875,7527388
2025-06-26,3359.3232652421043,3365.759354753242,3330.555256962972,3356.397705078125,2879106,408.635961243395,412.25999175637196,407.70545036119364,411.67230224609375,13703918,1413.8903780949927,1436.4165161110168,1410.814017835929,1428.080810546875,13617435
2025-06-27,3369.2703330730474,3380.387367158931,3345.8658502962735,3355.71533203125,1778433,412.3579493645105,413.3374219283217,409.2236252038625,410.0561828613281,21409935,1427.882386711014,1454.774858156496,1426.0961208320166,1451.00390625,22532899
2025-06-30,3354.5447137321717,3378.924381810933,3344.8904604060604,3376.096435546875,1468351,411.18257641188427,412.1130873177171,407.26468609870335,407.9013671875,12317124,1450.6071028820047,1450.706312958781,1431.2564136212704,1434.7296142578125,6325073
2025-07-01,3369.2704183662204,3398.526022577794,3328.800165873544,3344.59814453125,2375183,408.4400629554616,410.25209319380195,406.38316457386264,406.5790710449219,13670465,1434.6302067068036,1436.5156826077227,1418.653508855977,1421.03515625,7761449
2025-07-02,3400.671024568939,3403.3039810516498,3335.1385257152824,3338.356689453125,3090585,408.3421042433258,408.3421042433258,403.2488648665335,404.47320556640625,15990899,1421.2336440793872,1439.8897415628453,1411.707175185214,1416.867431640625,13372280
2025-07-03,3344.8904436190446,3350.058980842342,3313.294489180619,3316.4150390625,2531870,405.5016414226337,407.4605865502793,402.80809187212105,404.864990234375,14185298,1421.1344118511029,1435.027214103107,1412.798706272776,1414.98193359375,10177738
2025-07-04,3323.4363525656718,3341.964900305915,3305.980605453995,3334.943603515625,1109320,406.383156862037,406.48111009570783,403.2978242937535,404.0813903808594,8256733,1416.0734952431667,1433.3402880878325,1410.2186471744621,1431.7525634765625,5066503
2025-07-07,3333.481005692293,3341.0875101654565,3323.8265137554163,3327.044677734375,1639174,404.52218073930493,408.63597758463175,403.54270814671577,407.6075134277344,6845218,1425.9968814549877,1429.8670433562065,1418.6535190770169,1424.706787109375,5177477
2025-07-08,3320.5107317732236,3340.0144658805552,3309.1984707578945,3321.680908203125,2325242,407.60752214922184,409.5175057020906,406.1383132289018,408.635986328125,6807192,1421.035188079707,1433.935647189369,1419.050502062836,1430.9586181640625,5315847
