,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,
2024-02-08,3835.6458733260915,3899.417002760364,3831.9415667460817,3877.00341796875,2345173,836.0731789582557,836.7341265583009,809.636122092431,830.042236328125,1665039,392.08706215499694,392.17844961121966,373.442370028508,378.8804016113281,50039587,656.0058526209428,693.1255240196265,654.1739491949825,674.46923828125,74222434
2024-02-09,3879.3008122308597,3924.5034728185747,3845.0240130368975,3876.62841796875,2100596,833.6608131916672,849.62218594664,795.426118131754,822.722412109375,2296917,374.81326995012324,387.7000589587421,373.4423423447581,379.7486267089844,33527317,678.4222453850707,702.2366357119648,669.3110419771705,699.247802734375,43235061
2024-02-12,3873.1582239962727,3900.917512535836,3850.2285690197773,3864.436767578125,1013716,826.1592763516535,827.9107300262982,768.394222372847,780.637939453125,1643832,381.622252707984,382.03353970520317,371.11176845205404,371.8429260253906,11326971,699.9708774628965,699.9708774628965,679.2417123589678,682.5198364257812,22873137
2024-02-13,3868.891392141469,3910.6706762721788,3827.67442810669,3891.445556640625,1257415,791.4605378523125,792.4519289479563,757.4393162227292,773.9129638671875,1252179,371.88862153996564,375.4530507956858,368.5983836063643,371.75152587890625,16207766,683.1465652829623,692.2577691391986,676.9760578021069,687.8709106445312,23351472
2024-02-14,3851.588722467118,3858.9973357555955,3797.6646047310915,3845.117919921875,1391283,753.4572436418204,787.5941603339714,751.8049049551582,775.6644287109375,912108,371.0660668579939,376.7782893667236,369.60372283348534,376.1385192871094,12618012,680.2540625529531,721.6641976192514,680.2540625529531,716.7470703125,36782182
2024-02-15,3871.282423660838,3888.444175657724,3829.0809437517446,3848.02490234375,1091582,783.1989656329351,787.1645300158867,765.0234823809773,767.9315185546875,1167582,377.46374115666544,378.8803769826403,368.4612807413084,369.1467590332031,21169031,720.8928694462425,736.6084569548306,715.0597906860668,734.3909301757812,33941282
2024-02-16,3857.450096117476,3889.992312550588,3845.1179762463685,3871.56396484375,1307556,774.6068696653249,774.8381982824475,760.0830267867398,761.322265625,813639,370.15210830847485,374.31059937497434,365.0339476322224,369.7865295410156,38963810,736.0782565173563,746.8284634371934,726.3403336305333,727.6419677734375,27365121
2024-02-19,3866.640503768057,3871.56401029997,3802.822664172948,3848.587646484375,772291,766.7088385509103,777.2836976231212,757.4228363776889,761.6032104492188,1780167,370.15207752671523,377.2352271097672,369.7864987896574,374.036376953125,17602580,731.4985393690836,737.5726553496461,723.1104464212216,732.02880859375,13979584
2024-02-20,3828.2373627684356,3843.148462143892,3760.6211159582745,3779.98681640625,1193648,765.0235208101631,772.2937023742049,758.2159360056207,759.0586547851562,723558,375.133187013915,375.133187013915,369.5123517065761,371.157470703125,14626643,731.8359847570562,736.1264519437863,726.967052738199,732.8483276367188,12528399
2024-02-21,3763.434414830734,3810.6532761089843,3733.04943912238,3743.271484375,1885939,762.710264297931,763.6686171773995,723.7155645513698,732.3737182617188,1678551,371.98002129088223,374.8132930919039,366.7704728961171,368.64410400390625,20162369,733.3786255385841,749.6244830800896,732.3662238537067,743.839599609375,21465311
2024-02-22,3724.0463538039667,3840.287946278356,3724.0463538039667,3832.92626953125,2982052,731.9770609660176,734.5712332319561,713.7520205405056,727.0862426757812,1406748,371.88862598407167,379.4287715687956,368.73548367384933,378.78900146484375,19321180,745.2857902765477,745.2857902765477,729.8594349797497,738.4403686523438,18799244
2024-02-23,3873.157895434478,3873.157895434478,3794.756835314285,3800.1025390625,2538072,735.2652452236327,776.2592436573354,729.3334176802229,752.3997802734375,2705649,380.1141864185258,380.1141864185258,375.1788299070616,376.00140380859375,11576964,738.4403812825284,742.8754349674641,727.9311530180862,731.8359375,14143636
2024-02-26,3785.0039771663946,3798.1333269385277,3735.065557497388,3752.2275390625,1379284,757.7532612446471,759.7360434899533,743.8737855275031,753.1102905273438,989763,375.7272290145601,377.5094435802666,372.254187332029,373.99072265625,8289561,727.9312082579945,738.8742565255047,725.7136812472469,731.69140625,11355186
2024-02-27,3750.305466004411,3867.531818405149,3750.305466004411,3849.150634765625,2960475,756.9767330874021,796.1201660466568,753.4573064552452,791.8241577148438,3614343,374.7218905950383,377.2352627534842,373.396642202815,375.7729187011719,8083518,731.6914003457339,735.0176614115741,715.590128867995,722.9658203125,13969393
2024-02-28,3840.8976823678586,3896.509674983892,3834.7080400231876,3862.795654296875,1939225,796.4175385480693,799.7222160609822,754.3330325563657,772.392822265625,3113067,375.77294214542434,376.86970749456304,371.797254652537,373.1681823730469,8949664,722.965792248516,729.6184318157158,714.4331126203441,715.8793334960938,11263318
2024-02-29,3844.0863254782985,3880.754817970432,3811.778790417747,3840.428955078125,3772719,766.6593040858556,786.5036467745704,755.8862148689371,782.1580810546875,1199655,373.8079334221908,375.6815355101058,369.69512150470285,371.3402404785156,15468800,717.2291322182092,726.8706043069235,710.721138558327,721.2785034179688,19217113
2024-03-01,3851.776300908435,3882.5363087877504,3832.6448252006635,3839.725341796875,2043265,783.1990123613142,788.4533733802764,768.3281450379981,772.1119384765625,1929378,373.71653890782403,377.6008386718984,372.4369987339359,374.264892578125,12873024,725.0387042946561,744.3216485578118,724.9905087033734,741.5738525390625,17348526
2024-03-04,3849.7131636292625,3861.810830830789,3822.422778973925,3826.92431640625,1749271,781.6788523472844,781.8771426713319,763.3711551049446,766.527099609375,762198,376.7783024509622,377.41807255279343,373.30526061731956,373.8993225097656,7103794,746.635654393883,749.1424137066598,741.4292357019581,744.369873046875,9789141
2024-03-05,3809.387240696813,3811.2628621841086,3732.4867597177044,3762.590576171875,2070859,768.0968207100083,768.0968207100083,751.4744996204585,755.7705078125,956667,374.40200610495873,376.0014458816055,369.19245771005683,371.2031555175781,10108373,741.9113219415058,758.7357035196916,741.525639495962,755.84326171875,18088847
2024-03-06,3745.662985779128,3818.7652862706927,3712.276832263034,3811.544189453125,1744204,755.7704798301756,769.9804596103,743.5433428072494,759.7525634765625,2189610,371.5230344989099,374.67617670129044,366.22209894227285,372.7568664550781,11534613,755.5540071356407,761.9655509647814,745.1894243197579,755.7950439453125,26710525
2024-03-07,3812.200473461429,3867.5313044415575,3786.598195707899,3853.089111328125,2688905,754.7791337561131,759.8352650948094,740.2387700798356,741.5110473632812,1550508,372.7568823355202,379.2459708827159,368.91826167956003,377.9664306640625,23907135,761.6763024583448,764.954426539321,754.9272719302329,759.7962036132812,15497868
2024-03-11,3834.707809455719,3894.7276920199565,3834.707809455719,3865.98388671875,2304068,741.5109932501625,741.5109932501625,723.8311447719188,728.3750610351562,1684143,380.93680290963096,382.3077305995477,372.89398271438637,374.17352294921875,18298683,761.6763431224929,764.375943708488,742.9236669559873,745.9607543945312,16778340
2024-03-12,3865.983989585085,3966.8925114142617,3864.764560938834,3931.536865234375,4039801,728.3750773740913,728.3750773740913,680.7552646962989,710.017822265625,3540390,371.52301600748615,371.52301600748615,364.9882198540191,369.6494140625,36226074,742.3934128308799,749.8655543236582,730.1969260813347,732.4627075195312,21529705
2024-03-13,3943.4942087066347,3977.25539574907,3874.9401512123873,3890.976806640625,2837260,740.2387238568195,750.1526350669121,651.8231429122203,664.7938232421875,4970817,397.570769566704,400.312624757367,384.9124927232159,386.1006164550781,105525827,731.450347794911,736.3192797248611,716.3614195245849,720.4590454101562,27950252
2024-03-14,3895.150256479137,3962.250432711918,3831.8947380025797,3945.9326171875,2919608,664.8929888553772,693.2963077476204,652.203134285818,676.9383544921875,2402718,385.64364849759943,388.88817809071077,382.03351117920647,383.5415344238281,31949569,723.0140618967187,723.8817591322932,707.7322923467271,714.4813232421875,19730882
2024-03-15,3931.8653458631275,3975.3796720157243,3917.2354069378816,3956.85791015625,3373143,679.0533625168533,692.1562566076153,669.53597142019,688.1576538085938,1434987,381.3023425789304,391.67573009307705,379.5201280750981,383.0388488769531,76074975,712.7458828582031,719.7841462932436,697.0784894237145,705.659423828125,29792241
2024-03-18,3953.106408331295,3990.1499296240027,3861.76374108121,3894.2587890625,1526904,686.3730981601574,686.3730981601574,664.2320499968336,672.6588745117188,2174247,382.94748912903253,384.5012206480152,381.028178834862,381.5308532714844,16547358,701.0314668855465,711.4443046336356,696.2107304639793,704.7434692382812,18145126
2024-03-19,3799.3056461900082,3805.6358684946754,3719.9200610190014,3729.95458984375,8931209,674.1459479662861,676.128730166187,641.4465608189407,646.601806640625,2106249,382.0335283428739,383.4501642027759,373.5337421493741,374.31060791015625,21803126,703.8275174114212,708.0215345586139,695.294837485665,697.8497924804688,15205043
2024-03-20,3738.113180569138,3768.123120804515,3713.9176204628307,3723.9521484375,1817913,651.0135522836458,674.1459926457013,651.0135522836458,671.88232421875,2790846,374.72187897781316,380.79968017832465,374.3105920102969,379.9314270019531,20364534,699.1514430237444,712.4566640874273,693.9932196245381,709.8534545898438,25405455
2024-03-21,3741.9114094702163,3759.1200974295043,3702.476426060684,3725.874755859375,3829582,689.3473008286728,749.2273511902491,685.7287593948398,741.26318359375,6039216,382.94746988018204,385.6893250392281,380.3883896165868,385.0038757324219,19968509,715.3972193126948,723.6888616581621,713.999194109353,717.61474609375,15161161
2024-03-22,3654.6481172474314,3693.0983540468014,3615.2600697944185,3667.68359375,5852485,743.2129389784815,751.7719171989153,723.7155589999031,726.2931518554688,1888842,385.00389452753257,392.68110672719376,385.00389452753257,391.7214660644531,40358503,717.1809169690966,721.9534576831707,714.8188032557894,719.9287719726562,15535921
2024-03-26,3634.016313190079,3701.257291825828,3630.68703955033,3636.36083984375,3440925,734.9512796818591,768.328134961938,731.9771062561999,763.437255859375,3695259,388.93390016963383,392.26984629600133,388.93390016963383,390.85321044921875,10669833,716.4096538721063,721.0375492356,712.0227953384497,713.5172119140625,14678342
2024-03-27,3646.6769913107573,3652.772761001774,3591.252286075508,3602.037109375,1968575,770.6413743352416,818.0299201581237,765.6844185386819,814.1304321289062,6939876,390.2591342548215,391.99566969637203,389.7564598031415,391.173095703125,12698464,716.3614570597734,719.1092533764988,704.0203831624405,707.0092163085938,30088789
2024-03-28,3610.6650016041267,3671.5288233376846,3601.661927465741,3635.235595703125,4311783,822.2598472671972,849.2917753635028,798.3177266960836,831.4136962890625,5044320,391.1730814271391,395.9713426482272,390.2591200121909,391.49298095703125,29009002,711.299633363139,732.3180316341789,710.480131739764,725.3761596679688,21705116
2024-04-01,3655.304582916496,3688.6907341711717,3646.254801582969,3673.169921875,1569676,845.1278659943142,900.183109795646,836.0731324670219,895.5235595703125,9280776,392.1783967656632,394.2348025320122,389.11664221859405,389.98492431640625,9743648,731.8359644474378,734.1981369990166,725.1351292346699,731.1128540039062,9949971
2024-04-02,3648.0836677291272,3666.6993019354495,3632.140885633653,3642.269287109375,2142666,898.3821529423631,917.7307995162492,882.6685669114438,910.8736572265625,5563455,391.8128283117568,391.8128283117568,388.06562438812233,389.20806884765625,9194659,731.0164660314755,741.1882078791733,726.3403165012812,738.9224853515625,15713063
2024-04-03,3611.509094088183,3733.424488071944,3611.509094088183,3701.8203125,3973090,905.4705989177538,951.7355412308243,900.5136429738433,945.5228271484375,4646682,389.34520020712586,391.90428066572207,384.7754219498934,388.614013671875,13152268,737.4762911492417,744.9001782599978,732.8965914876521,743.40576171875,19136981
2024-04-04,3728.6417382256623,3778.111256202073,3690.5198221169708,3754.337890625,3394637,953.0573427811271,970.2414964612464,917.532513257122,955.1062622070312,4809942,388.9338972480882,390.5790161945303,383.7700572984611,386.37481689453125,19065447,747.2141506069232,747.5033830248789,730.9200378484845,732.0770263671875,15889530
2024-04-05,3730.610939757806,3753.1183964079287,3714.199252617092,3731.783203125,1636819,948.4308645737659,969.9109653093066,941.8215702268315,950.2814331054688,2663814,386.1463241399223,394.55472252991405,383.81572695487466,390.7618103027344,16768902,730.7754145215962,740.1758501398218,725.6171914639816,737.3316040039062,9939620
2024-04-08,3735.2995866101387,3781.8617909033455,3713.7299430017947,3725.49951171875,2302538,954.34614330681,959.2369616716976,915.400943989866,925.8601684570312,2370213,391.447278722544,394.28055046235164,390.94460428153735,392.1784362792969,8844633,738.5850021452578,742.3933956194346,734.4873762603453,740.7543334960938,9797174
2024-04-09,3736.237662579727,3766.1070236289547,3680.953770065772,3701.11669921875,1876992,925.9593516131147,929.528335616731,903.1573547318495,907.354248046875,1593798,393.4123028017299,394.3719434877883,388.9339120129943,389.6650695800781,6967273,740.8989563252226,744.7555452746966,733.8124388224375,736.8013305664062,7465892
2024-04-10,3710.3542591400274,3742.052307422326,3674.3424188992844,3736.847412109375,2101965,907.3211774699362,958.3447825414011,890.8310100450573,946.2828369140625,3871380,391.44727259062495,400.12986258026945,389.1166753283321,399.3529968261719,14547618,739.0188603767406,752.7097629710994,736.2710642780829,751.118896484375,14530669
2024-04-12,3724.0463102085732,3763.76268515537,3700.1321372268762,3752.5556640625,4354821,945.2914211921561,976.4872027824177,930.288340857761,934.8652954101562,3536700,397.570767195204,398.25624547173635,391.44725781121747,393.0923767089844,18785009,749.3834123957522,751.5527435992136,737.3797679672235,738.8259887695312,14408722
2024-04-15,3752.5557696224905,3811.4503293550783,3675.32719325435,3696.099609375,4200329,907.6846585843371,948.0508089383437,900.5135920238955,920.0935668945312,2969838,391.1730945255732,392.2241516362539,386.5119288089437,389.2537841796875,9083087,732.5590796729715,735.9335950981468,721.9052641714367,730.341552734375,11356572
2024-04-16,3659.3376421051544,3684.3771439928046,3622.622441866501,3631.95361328125,3051420,920.3414339439693,943.1599496250918,919.7796617596081,937.1124877929688,2031522,386.831799383635,390.25913308002106,386.78612013920065,389.2537841796875,10357752,724.315633679616,727.8347947397396,717.7112484453821,724.74951171875,13338991
2024-04-18,3635.7048405060677,3691.2231923226304,3610.571466067614,3621.8251953125,3476284,944.6966283746418,956.8576888222378,907.1228804871891,919.0526123046875,2191128,389.34519094310184,390.16773594755756,381.71365795919775,382.8103942871094,22133191,725.0869303823578,732.7037172254089,715.3972622519597,718.0968627929688,14589648
2024-04-19,3599.3174326502835,3612.9626239981167,3564.5245644253832,3588.251220703125,2957749,906.1314862049367,925.2983610751079,893.3259973660168,914.9052734375,1840695,382.03351067965104,389.5736558588104,380.20561688518654,388.2027282714844,17221280,708.166151201757,725.0387279832828,705.8039786829678,723.5443115234375,10886554
2024-04-22,3598.3800024789316,3636.830244882277,3574.934732720794,3624.263671875,1728883,924.0426374644717,948.430896299343,924.0426374644717,942.251220703125,1670124,390.2591163466751,390.8074989836757,386.92319921401906,388.7054138183594,7386048,727.1116662441453,741.4292292520696,723.5443096786286,738.6331787109375,17452186
2024-04-23,3635.9392984592287,3652.7729560208513,3620.5123570552523,3633.7353515625,1807586,949.1909226999971,1073.1478512515334,948.4308602071188,1057.434326171875,12193113,388.7054072770841,393.4579601647396,388.522603412523,392.26983642578125,12484384,742.7308138738571,749.8173315016863,738.1029188222026,745.2858276367188,12292429
2024-04-24,3648.083452943258,3655.585938193527,3586.6099186323313,3592.799560546875,1317312,1070.9832711655183,1078.8647819813234,1014.5235360720648,1034.3348388671875,6382407,392.3155065344747,393.7321423126332,391.4472533713222,391.9956359863281,6070285,750.5886207443748,750.5886207443748,742.5862104814081,745.3822021484375,7842615
2024-04-25,3574.1837976912666,3632.7500252586483,3573.996281358353,3612.634033203125,2856271,1036.334169570556,1065.0845105281692,1034.3348077753617,1040.1510009765625,3704553,393.9149534166353,400.5868165029518,392.08703064360867,399.9013671875,30337038,743.0201189674838,785.2015621323537,742.0559716951439,783.5625,36732974
2024-04-26,3615.4006982107267,3635.704436508526,3566.0719945433134,3583.702880859375,2039178,1028.072573837641,1067.3316373135738,1028.072573837641,1060.9041748046875,2631858,401.4550551906468,405.1565798445688,398.85029574731493,402.1405334472656,15342965,786.6478140668245,787.611961377191,770.257309790593,772.5712280273438,14964358
2024-04-29,3599.3174341023114,3636.6423454168485,3581.6865473099597,3629.514892578125,1110693,901.6537037863824,956.6759109035276,863.2042596136241,915.7975463867188,33735531,403.96849476986824,404.3797527972421,397.20521486639313,400.4954528808594,12075706,778.0668646229158,801.4474364532822,770.0644538689087,796.8677368164062,27302732
2024-04-30,3631.2030581143713,3640.3467125091584,3573.058794270598,3583.04638671875,2203078,933.493890740911,953.387851030758,918.0282128705201,922.0433349609375,7261494,402.09486408753065,402.5975385356441,397.6621815089178,398.16485595703125,12528665,796.8677458100889,804.91835225018,790.5043971499949,796.626708984375,27449073
2024-05-02,3543.095825813969,3630.3591588386275,3543.095825813969,3623.044189453125,2491044,949.0917998255042,958.3448244828185,935.2123233492482,944.7131958007812,6126543,398.48473777993564,404.51683088911363,397.4336807202778,401.2265930175781,24123523,797.2534375772727,804.0024687760509,795.4215341417088,800.2904663085938,19943724
2024-05-03,3648.224242496259,3651.459872612422,3561.430044438285,3604.381591796875,2962234,954.2800146061413,956.4941254399876,929.7100464696242,942.0693969726562,2830287,402.1862629337069,402.1862629337069,394.23483059983744,398.89599609375,23786388,804.8700673212338,806.2198969341655,790.6007005921169,801.6401977539062,22667634
2024-05-06,3613.3843338311763,3694.926921786494,3613.3843338311763,3677.202392578125,2053831,950.0831255337444,950.0831255337444,917.0367754183038,940.2353515625,2318283,400.3126234420568,402.55183317412144,396.06274501390186,397.34228515625,10753860,805.0629516671522,806.0270989146577,774.2102397469739,778.838134765625,35283557
2024-05-07,3686.3462169354693,3739.988941315255,3670.12204659911,3731.501708984375,2062112,943.473900461904,943.473900461904,904.8096468737555,927.7603149414062,3082413,399.30727653728593,407.62428750266935,397.7535450760951,402.4604187011719,26969062,782.8875213212029,785.4425349233778,764.7615658481657,773.149658203125,16725013
2024-05-08,3714.6681858171114,3736.5192209369857,3693.66131770256,3729.626220703125,1247685,917.0367742990943,935.2122577639474,915.5331684869269,931.7093505859375,1663095,403.2830180317506,406.43616039417304,400.49545445393676,403.0545349121094,10916481,773.8245110587671,792.5289900811847,770.8356783088896,781.7305297851562,27908322
2024-05-09,3715.6058295864877,3724.0461255143723,3666.8866116609574,3713.917724609375,1726486,922.3242050604111,953.3878344979089,892.2520272740423,895.6062622070312,3470535,402.18626860635175,403.5114880367474,386.92320277397204,388.5226135253906,24314298,782.7911700385396,809.5462560286481,774.7405052523084,790.4078979492188,49290254
2024-05-10,3716.1689930361385,3726.484911351382,3643.4417231221314,3651.7412109375,1672489,896.3828432389553,908.4943464093984,872.440722986645,875.7288208007812,2548032,389.80213909836215,398.80459931623363,389.80213909836215,396.062744140625,14524604,797.3498214011286,802.2187535230167,786.3585185830859,788.0457763671875,20543142
2024-05-13,3642.925600436705,3709.041253630369,3629.327345524533,3702.2890625,931326,884.2878420639962,884.2878420639962,848.944724379086,858.4290771484375,2186991,395.9713447246366,397.98207143443125,392.5440111250424,394.69183349609375,7584217,790.456122787604,790.456122787604,769.9679931182314,779.8023071289062,15398505
2024-05-14,3691.222770938554,3700.413361230903,3650.8030397651737,3658.5869140625,1058317,862.5102372927815,895.5400672171708,859.2551779901167,886.5184326171875,2209614,393.4579641744985,396.0170445089671,391.67574958198725,392.726806640625,11423749,783.8517179173241,792.9147256484775,778.9345904580701,788.8652954101562,10912462
2024-05-15,3661.6818959693137,3682.7357004952323,3634.485385536964,3639.08056640625,1115021,897.969005734695,948.1003327636447,897.1263475056825,938.8143310546875,4480512,393.68644240363693,395.97133139310563,390.0306258136693,390.99029541015625,7856433,791.5648684373534,795.7106897182591,788.7206223660413,790.8899536132812,9755062
2024-05-16,3675.637945909043,3693.018989202287,3630.673611714795,3684.9423828125,2599399,953.0572750000154,953.1894887157121,921.6632643546824,931.3623657226562,2026713,393.0010134485123,395.37729001022427,386.5119249062993,394.32623291015625,23911954,795.7107594941345,796.5303200119738,768.7628305348695,782.8394165039062,20536990
2024-05-17,3701.992673680125,3702.937300542508,3617.9208829280115,3621.7939453125,2765804,931.9076174702484,940.4335565751348,910.4439763320763,919.6804809570312,1699452,395.19451234969523,399.8556779867922,391.9956618278003,398.7589416503906,11894830,785.2979013861104,792.9628834636741,782.1162273671808,788.5277709960938,12492509
2024-05-21,3618.4880769854944,3631.854456042576,3599.0759470919206,3608.663818359375,1908117,923.3156150500781,923.3156150500781,898.8613400691008,900.9432373046875,2611626,398.484735231475,399.49008407657504,395.9256549108889,397.3879699707031,11175153,791.5649127770058,806.3163543151672,790.2150830532505,800.8689575195312,14037801
2024-05-22,3622.644183451547,3628.548101612322,3606.160490071024,3619.810302734375,1311168,903.8182795879243,910.4275135400205,876.3732519548649,877.6620483398438,3300306,399.71859694915946,403.9227965080598,397.93638223360296,402.0491943359375,11036895,810.2799344229562,810.3780018937406,797.5358302513197,802.6334838867188,19239277
2024-05-23,3628.264752304816,3688.7681531563644,3613.6703123942825,3677.857666015625,2095742,877.8768600201238,886.9481132123593,861.5189061067052,863.8156127929688,2825529,403.42009785693614,406.6189483040531,398.9874154394711,403.3743896484375,27244733,808.4663420586099,819.0537392891404,805.8194777925474,815.7206420898438,17497488
2024-05-24,3663.4990864307915,3668.7418115804035,3631.429050950218,3636.341064453125,1309452,869.1195851826863,912.079847694022,864.8069974230878,902.198974609375,4130778,403.05451410700533,404.3797335120663,397.84496600489564,398.6675109863281,13252938,813.6620166705683,824.6905681013441,810.7210696223614,812.28955078125,12252075
2024-05-27,3641.5365929797185,3691.9325288692844,3628.64252842061,3634.02685546875,1841538,904.4626047962569,906.7262730663307,876.3897297035534,893.4086303710938,2007516,401.04384077852103,401.1352282340301,393.6407906662891,394.3719482421875,12282545,816.2108014350272,822.876995845969,806.7997949535047,817.2891845703125,12295193
2024-05-28,3644.3707893386604,3655.7063127891693,3617.921234620806,3627.27294921875,1801993,895.5566853774137,900.8441453809725,886.3202402882282,893.0947265625,1442682,394.9203077808962,395.2858865474374,391.4015578418531,392.0870361328125,9668761,819.2498532378913,824.151431802395,807.093914464433,814.7894287109375,13818893
2024-05-29,3635.774396680819,3635.774396680819,3589.582233347775,3593.030029296875,1568095,888.9474219912944,891.5745722447523,868.2438418113795,871.4989013671875,1577238,388.8881674070639,395.19448048921834,388.8881674070639,393.8692321777344,10832067,812.0935412900568,818.0244392460639,803.1726326134542,806.4567260742188,14518232
2024-05-30,3567.855604818015,3584.2920197241397,3509.7137762005277,3529.220458984375,2919230,872.424209542384,881.0162863214181,838.1551383565102,844.2686767578125,2911680,391.63006488826727,393.86924566680193,386.009229872296,387.3801574707031,21314885,805.2313320096405,819.5439171556648,803.1726331596147,809.5936889648438,17818705
2024-05-31,3532.9042615855815,3542.161650427461,3451.4301994032935,3467.677734375,10956800,850.101363595268,893.9043439131378,829.265630988949,890.2196655273438,3787668,390.03063052557883,392.5897108592454,387.7457415085067,389.7564392089844,29300711,814.3482733523172,818.5636189442075,801.0159437782618,814.005126953125,22267336
2024-06-03,3526.1032967744277,3543.815050940118,3491.3409811408733,3497.811767578125,2156773,924.9679484635105,931.9076865548767,892.252040318499,894.8627319335938,3464808,396.65680783600834,397.479381772038,391.7671593248684,393.32086181640625,16116836,846.5516101706216,894.0479177688353,839.8854753820721,887.8229370117188,64269020
2024-06-04,3495.1194153242764,3537.627624429572,3392.6274000370645,3509.288818359375,3395997,892.2520605452534,892.582504101476,801.3745156901834,844.9957275390625,5349744,396.52177031965385,396.80101565647095,374.97368265988365,386.4690856933594,47791986,879.3431739398783,879.3431739398783,717.542081270305,759.9407348632812,122381193
2024-06-05,3510.2337143515874,3574.2794671048623,3495.1196832887176,3538.99755859375,2799670,847.6394107148592,884.8165778514758,810.3961669725896,879.9091796875,3243504,392.7985512208221,405.82980402897,389.12189949981456,400.52423095703125,28197030,775.1846003180706,779.3509418310036,729.4038474915685,774.2042846679688,74256082
2024-06-06,3571.634591956132,3627.2730285268212,3534.321826449053,3618.299072265625,4328036,892.5824621137675,904.479155694742,886.6341153232802,892.632080078125,2552427,405.829791944629,407.41213302436523,401.2688535975877,405.27130126953125,32318523,784.2525339544707,816.9460375302097,780.3312712846982,800.868896484375,40555649
2024-06-07,3624.8165722996846,3698.2140306925203,3624.8165722996846,3678.32958984375,4552445,892.632094870968,894.9122824098332,876.5550270167298,886.2376098632812,1808727,401.5481302044602,411.0888461479956,401.268884845166,408.7618408203125,29543660,803.7608761709042,815.1325144961712,794.545884544975,813.613037109375,25061284
2024-06-10,3679.3217405498876,3689.6180814133613,3629.161960387638,3645.03173828125,1734661,886.2376078681572,898.2003782266429,877.1002780717308,879.2648315429688,1531260,409.5530068967988,410.48381488403055,405.6901817746213,406.6675109863281,11872688,817.7303524667053,828.8079077389773,812.877777859861,815.4265747070312,16725508
