,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-07-25,785.8773432331659,801.6639565310072,785.8773432331659,797.5199584960938,25535732,446.7306858915952,452.20086227300567,441.8531309735649,446.68511962890625,18567567
2024-07-26,791.7972838101718,800.0605887969758,787.5792741911353,798.2846069335938,43810540,450.42305878672033,461.6824910433161,444.36028979426646,457.8533935546875,21534703
2024-07-29,796.7306475152811,805.0432741154053,788.4920327099303,791.822021484375,51001148,460.86194876499803,461.5001364515738,450.423027797638,452.2464294433594,12978187
2024-07-30,790.3172853310259,806.4738965011826,788.8372904146756,797.001953125,54595834,452.4744082624718,453.84194523349976,445.4999379265304,446.6395568847656,13891052
2024-07-31,796.237255579839,803.0945773220608,793.8692396532248,797.1005859375,37820484,448.9643943431692,453.97870625063285,447.1865875952009,451.6083068847656,11982586
2024-08-01,800.627938629233,814.0219048337823,798.1859108540549,808.471923828125,26215174,452.155294892808,452.88467297760064,447.59681911064166,450.10400390625,12114803
2024-08-02,804.6238722852388,824.1104712768188,804.6238722852388,818.5111694335938,44119238,441.9898988909283,455.3462174298525,441.9898988909283,445.9101867675781,22141163
2024-08-05,809.1131991555811,812.02386783421,789.8239443515008,797.1005859375,41333634,437.6593419676077,448.4629384481495,437.20347706841375,443.08392333984375,25022076
2024-08-06,804.1305829139676,805.5858871810888,786.0253355957136,789.922607421875,45116050,443.31185723274336,448.28060277815945,441.3061325083515,443.3574523925781,14251363
2024-08-07,797.7172336137804,804.130544706532,790.415901512036,800.9238891601562,42346264,446.730673221321,451.83617488506997,444.99846182580694,449.14666748046875,11320399
2024-08-08,801.1705962949537,815.6252376687839,798.8272709671206,810.3958740234375,33976950,450.3774947823807,454.02426944874264,449.00992900000904,451.0612487792969,21349889
2024-08-09,814.9838462106346,820.1885189537674,811.9252142176729,814.0958251953125,26644618,454.02427391323624,454.02427391323624,449.55695973352357,452.1097106933594,9556181
2024-08-12,814.9838840860709,826.7991529902637,812.6898798741655,818.9798583984375,39316196,448.5540699171389,455.8476188744987,448.5540699171389,450.9244689941406,9425644
2024-08-13,803.1438891669751,805.314560371115,789.8979470194763,790.9092407226562,54055042,452.15526355477385,453.8875038800431,445.13522751757506,446.7306823730469,8056478
2024-08-14,792.5372946697382,796.0892584565494,790.9092761384464,793.1786499023438,32334428,448.5085016768149,454.93597422607183,446.6395336172972,448.7364196777344,9609981
2024-08-16,803.3906439659711,806.1779800129083,794.757339532809,805.1666259765625,27849246,450.8333053480392,459.67674280573084,449.1466602411071,458.26361083984375,13643352
2024-08-19,807.9045746403995,807.9045746403995,801.0225621096914,804.895263671875,19502164,460.17823437491796,464.3264405075642,455.4830018883327,457.1696472167969,10591508
2024-08-20,802.8726105839366,812.0239372458545,802.8726105839366,807.9292602539062,31134494,456.7593562708698,458.9474326908904,453.7507692522604,454.7536315917969,6888634
2024-08-21,803.1932814957441,806.3753069063249,798.1120014172305,802.0586547851562,47630904,455.8476340497613,464.0529130177818,454.9815283328472,460.77081298828125,8801221
2024-08-22,805.1172807347715,808.2252943260683,803.1439540663039,804.77197265625,21300638,463.0044977969278,463.5970904163863,457.1696463469196,459.99591064453125,8686423
2024-08-23,806.1038926835937,806.1038926835937,800.6772446912317,801.6885986328125,20333422,460.45171515256504,462.18392662579055,455.80207815406663,461.135498046875,8195369
2024-08-26,805.2159251748899,812.9858989531632,805.2159251748899,809.0392456054688,22364266,461.31782468341106,463.1412264870548,457.67104997039354,461.0443115234375,8126402
2024-08-27,810.7412543536698,812.714580974844,805.2159036816922,807.9539184570312,35773244,462.73096622811397,462.7765613871338,455.84765750673535,456.3946838378906,8260450
2024-08-28,807.9539173658313,808.9405806750858,804.2292392849356,807.6332397460938,26921188,456.2123437617104,457.94458422323976,452.65675920109425,453.3861083984375,8081932
2024-08-29,810.0505418236547,811.2345497877237,804.6979056469421,808.3485717773438,49052604,454.02427560774544,462.86771368427515,453.4316541292554,460.497314453125,19389694
2024-08-30,816.9572296027775,819.9172195651064,799.7646332824804,807.5346069335938,445342100,457.6254612839912,464.1896905333773,456.0300063539427,457.57989501953125,15523349
2024-09-02,812.4185353190471,812.4185353190471,800.7758609185206,802.6258544921875,34049680,459.49445011058486,467.6085389871661,458.8562623710469,465.01019287109375,16497266
2024-09-03,806.1039427589494,809.0392420850643,801.466613051357,807.756591796875,37282860,465.0101951235504,470.3892102248928,463.0500656317912,464.4176025390625,12481552
2024-09-04,808.5705516272349,811.4318992052836,805.1172301742814,809.951904296875,24682744,455.8476475462073,465.0101939214988,455.8020812824538,461.6369323730469,8739052
2024-09-05,812.0238589250097,813.947864316631,810.0505324148638,811.7525024414062,22876318,463.4603086443522,466.6968425307686,462.27512346983656,466.05865478515625,11318636
2024-09-06,808.2252499925564,812.8872099026286,806.1532209716318,807.5592041015625,26029602,466.78798605768634,466.78798605768634,453.2493162323431,457.39752197265625,14245025
2024-09-09,808.0772497858858,813.2572321563082,804.1799176724811,812.2705688476562,23792914,457.67105577087847,467.38059970737794,456.16676226622855,466.5600891113281,14265060
