,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-05-08,964.364722012384,964.364722012384,946.752746184645,951.3900756835938,34803430,1427.5846620245352,1437.8058437113664,1415.1803741209164,1424.5084228515625,15306490,2235.947896887262,2290.7749741626963,2203.383854714477,2222.98876953125,15815844
2025-05-09,942.3127568324845,946.7034204881495,930.8181657127636,932.248779296875,17188796,1404.3638078003796,1409.0278927234135,1376.379782804671,1378.2652587890625,13491197,2159.854752819302,2209.6975529353394,2153.8736168053774,2183.779296875,10559544
2025-05-12,946.0127244576516,966.8806765571811,943.3981029435623,965.5486450195312,18618972,1398.6082269981746,1441.8743569081432,1393.249550653154,1437.4088134765625,9925445,2292.7688569016873,2341.6148021139406,2281.138788822038,2311.210693359375,11883684
2025-05-13,961.9967305905121,967.7686868855955,947.1967808891196,948.4794311523438,24242102,1429.0731325397105,1436.8134564073198,1416.4704248722041,1419.6458740234375,12475424,2325.9971526494055,2440.9680353103417,2319.8500364945517,2430.833251953125,16155834
2025-05-14,948.2327622761527,952.2287366384547,938.8101397074491,942.5594482421875,15445308,1418.9512828044426,1429.6685145448027,1406.4477852062123,1415.279541015625,8026837,2450.666748046875,2474.166748046875,2417.166748046875,2449.0,9444795
2025-05-15,943.9901042439285,959.4314088460198,935.85013208818,954.0047607421875,32241458,1414.9819190581854,1445.3475908699352,1404.6615275498752,1439.6912841796875,18209264,2450.666748046875,2450.666748046875,2370.5,2382.666748046875,10080171
2025-05-16,954.0047801554118,958.9380967138302,951.340777169636,954.44873046875,15868010,1442.172107583965,1447.5306627908633,1435.920298328426,1442.86669921875,6439208,2400.0,2438.333251953125,2397.166748046875,2426.333251953125,5439912
2025-05-19,955.5834183781088,959.5300716290252,952.6234284399217,956.4220581054688,10202964,1435.4241717584057,1448.5230511072755,1432.7448940711074,1437.905029296875,6005334,2438.333251953125,2491.666748046875,2427.333251953125,2486.333251953125,6779835
2025-05-20,951.1927398071444,954.3993955236706,943.7434439560598,944.6807861328125,23879090,1439.0957378026826,1447.8284044606678,1424.5083444847762,1427.1876220703125,11352383,2511.0,2529.333251953125,2454.0,2461.833251953125,9830418
2025-05-21,950.6500948788123,960.4674068130723,947.739426083267,950.5514526367188,15132040,1431.8517946649677,1440.1875004165765,1427.485461067875,1433.637939453125,5510460,2466.666748046875,2490.0,2400.166748046875,2435.0,8333151
2025-05-22,944.828766015395,949.2687509312965,939.895449442171,947.1474609375,21306670,1430.0655182967434,1434.2334317099203,1416.867428660744,1431.057861328125,7245933,2435.0,2440.166748046875,2298.333251953125,2332.166748046875,15080493
2025-05-23,947.2460290070277,955.583345407158,944.4833839865793,953.906005859375,9566072,1431.1570706662649,1440.6836606711147,1423.4168677068544,1438.698974609375,5203706,2358.0,2488.0,2335.0,2448.0,16556320
2025-05-26,954.5967478346391,961.947401503022,950.6007734925844,957.1620483398438,10802860,1446.8360701649403,1460.331910515487,1443.8590412139838,1449.4161376953125,5608725,2480.0,2526.0,2435.0,2450.0,9288433
2025-05-27,952.9194312599001,961.0100826032541,945.3714929245052,950.3048095703125,26162148,1441.3782192942826,1451.7978208795425,1424.7068083036186,1435.324951171875,14842959,2450.0,2450.0,2395.5,2404.0,6553028
2025-05-28,947.295443323748,954.3501102535763,946.0621141556768,948.9234619140625,18157594,1436.5157355383742,1446.836127202333,1431.454810349359,1442.6683349609375,8618343,2425.0,2438.0,2385.0,2404.0,5094893
2025-05-29,951.1433943336576,957.4580633637506,940.9314535555673,950.896728515625,28917794,1445.4467442494526,1451.698553407669,1433.9355900375203,1445.3475341796875,15545514,2429.0,2470.0,2391.0,2464.5,6162725
2025-05-30,953.0674622365118,961.4047794767922,949.8608063918771,959.4807739257812,28748078,1448.7216268807567,1449.7139699197687,1433.2410996992944,1434.7296142578125,11803975,2472.5,2690.0,2469.0,2674.0,18465797
2025-06-02,952.1794133521448,955.0900821550082,941.276795842849,953.1660766601562,14668822,1430.9586389930196,1448.8208134048605,1421.8291316367724,1439.3935546875,9458990,2690.0,2735.199951171875,2647.0,2693.300048828125,10992168
2025-06-03,956.0767204883472,962.9833634640112,947.1967509482078,949.466064453125,24377584,1443.7598455387374,1443.8590556109682,1421.035166759386,1426.8900146484375,11167345,2720.0,2787.800048828125,2692.0,2764.89990234375,8663975
2025-06-04,947.6901200517409,958.6914401720352,947.6407989299088,957.6553955078125,12961542,1426.3938661679927,1429.0731438395549,1415.4780930628378,1420.0428466796875,8025388,2779.89990234375,2815.0,2711.0,2797.10009765625,6827661
2025-06-05,961.0100588418235,966.3873858970264,957.1620478647775,961.7993774414062,22255418,1419.9436226094324,1447.8284366760695,1416.3712120373557,1443.66064453125,11385668,2821.10009765625,2918.0,2815.0,2909.800048828125,11094118
2025-06-06,959.0366899431259,984.8379583134906,958.3953347348495,976.1552734375,30127008,1437.5080878919146,1450.2101271201,1431.0578582020253,1448.5230712890625,11580994,2939.800048828125,2985.0,2920.0,2933.199951171875,10365779
2025-06-09,984.196594423998,984.196594423998,974.7739724063232,976.2539672851562,13202588,1453.7825541382838,1455.5688200651953,1422.4245382897982,1423.8138427734375,11022031,2970.0,3024.89990234375,2935.300048828125,2994.39990234375,7298847
2025-06-10,978.1780428487654,978.1780428487654,967.472709657825,969.5447387695312,15533126,1427.9815809293386,1430.660858582463,1405.6538633679,1412.0048828125,12905272,3009.300048828125,3030.0,2975.199951171875,3005.39990234375,7137028
2025-06-11,970.6793723493836,970.6793723493836,960.516752091058,962.194091796875,11096394,1410.9133394459884,1423.5160472131458,1407.737769134025,1420.0428466796875,7136877,3015.0,3019.89990234375,2823.10009765625,2882.39990234375,10665889
2025-06-12,961.9966994408974,967.4233474890254,954.7447484104943,958.74072265625,16349130,1419.5466979345517,1425.5007560873705,1409.127096167119,1414.2872314453125,7953247,2860.0,2860.89990234375,2748.39990234375,2754.10009765625,9601852
2025-06-13,947.19676434732,953.6100757725884,943.7434428106371,946.0127563476562,12117762,1392.8526699787633,1410.6156346634868,1392.8526699787633,1405.2569580078125,7573103,2653.0,2770.0,2653.0,2711.199951171875,7506707
2025-06-16,949.1700746468088,956.520728121515,947.2460692080249,954.7940673828125,16513746,1405.7530618658518,1418.0581392255135,1403.3714144517853,1415.9742431640625,5451137,2725.0,2769.0,2675.0,2697.39990234375,5760092
2025-06-17,955.5834055099792,957.852719054467,946.7527569357399,951.9327392578125,16978736,1415.9742319665809,1418.8520508551696,1406.9439350146247,1412.302490234375,6970098,2719.0,2730.0,2622.300048828125,2664.39990234375,6162135
2025-06-18,945.7167603313338,955.2380851367438,945.7167603313338,954.0540771484375,18433816,1406.150024814166,1421.0351697486842,1399.402043989603,1401.78369140625,6751745,2525.0,2664.0,2500.0,2633.199951171875,9963748
2025-06-19,954.0540746334422,960.4180648603083,949.9593979158449,954.7447509765625,16876220,1397.2189939427594,1403.8676438261634,1393.9442134714564,1400.4937744140625,8849883,2645.0,2656.39990234375,2584.0,2595.39990234375,4153374
2025-06-20,952.9193918485255,971.8140179089729,952.9193918485255,969.2486572265625,32900408,1400.4937821267788,1422.3253290273638,1399.4021078732494,1416.1727294921875,12408178,2600.0,2698.39990234375,2571.0,2688.10009765625,5802506
2025-06-23,961.2073364257812,965.8939867961492,957.9513597916495,961.2073364257812,11739518,1406.1500791810931,1412.3025575376569,1401.0891539348067,1409.226318359375,5514384,2670.0,2795.0,2648.0,2775.300048828125,7002677
2025-06-24,969.3966711141703,976.3033140635843,964.7593416610487,967.3740234375,22625322,1416.7680893764307,1424.9053748687675,1405.6538959425357,1413.1956787109375,11188438,2850.0,2865.60009765625,2777.0,2785.60009765625,6052217
2025-06-25,969.8900392545883,977.7833457795492,968.854054817417,976.8953247070312,18405932,1411.1117385952273,1417.9589294864209,1404.463088984364,1414.8826904296875,7527388,2800.199951171875,2825.0,2772.10009765625,2789.0,3725327
