,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-06-03,410.3990201585084,413.04360813984886,407.1177809642176,408.39111328125,13216486,956.0767204883472,962.9833634640112,947.1967509482078,949.466064453125,24377584,1443.7598455387374,1443.8590556109682,1421.035166759386,1426.8900146484375,11167345
2025-06-04,408.586978384479,410.39900862513116,407.4116292300163,408.4400634765625,12598933,947.6901200517409,958.6914401720352,947.6407989299088,957.6553955078125,12961542,1426.3938661679927,1429.0731438395549,1415.4780930628378,1420.0428466796875,8025388
2025-06-05,409.9092587388879,412.30897842272395,407.2157092489669,410.4969482421875,13212523,961.0100588418235,966.3873858970264,957.1620478647775,961.7993774414062,22255418,1419.9436226094324,1447.8284366760695,1416.3712120373557,1443.66064453125,11385668
2025-06-06,411.67231694542346,412.6517895338172,410.39901453696416,412.40692138671875,8774988,959.0366899431259,984.8379583134906,958.3953347348495,976.1552734375,30127008,1437.5080878919146,1450.2101271201,1431.0578582020253,1448.5230712890625,11580994
2025-06-09,413.33744096123485,414.9046031137218,411.86823204786555,414.3658752441406,10473123,984.196594423998,984.196594423998,974.7739724063232,976.2539672851562,13202588,1453.7825541382838,1455.5688200651953,1422.4245382897982,1423.8138427734375,11022031
2025-06-10,415.78612073411426,419.75297282706833,414.3658735007135,418.23480224609375,13041075,978.1780428487654,978.1780428487654,967.472709657825,969.5447387695312,15533126,1427.9815809293386,1430.660858582463,1405.6538633679,1412.0048828125,12905272
2025-06-11,419.2142518774774,419.312205110815,416.12891931968926,417.4022216796875,20789182,970.6793723493836,970.6793723493836,960.516752091058,962.194091796875,11096394,1410.9133394459884,1423.5160472131458,1407.737769134025,1420.0428466796875,7136877
2025-06-12,418.2347759328376,418.43068239792314,410.9376935297822,412.3579406738281,18508835,961.9966994408974,967.4233474890254,954.7447484104943,958.74072265625,16349130,1419.5466979345517,1425.5007560873705,1409.127096167119,1414.2872314453125,7953247
2025-06-13,406.48111231744474,410.7418239308055,405.01190347774315,405.4036865234375,17873926,947.19676434732,953.6100757725884,943.7434428106371,946.0127563476562,12117762,1392.8526699787633,1410.6156346634868,1392.8526699787633,1405.2569580078125,7573103
2025-06-16,406.4321620890675,410.30106087453294,404.7670467340719,409.6154479980469,7006629,949.1700746468088,956.520728121515,947.2460692080249,954.7940673828125,16513746,1405.7530618658518,1418.0581392255135,1403.3714144517853,1415.9742431640625,5451137
2025-06-17,409.5174909056936,410.44797192026425,407.1667626963428,408.83184814453125,9028406,955.5834055099792,957.852719054467,946.7527569357399,951.9327392578125,16978736,1415.9742319665809,1418.8520508551696,1406.9439350146247,1412.302490234375,6970098
2025-06-18,408.4400661979771,409.86031339660474,406.3831678000489,407.3626403808594,8036215,945.7167603313338,955.2380851367438,945.7167603313338,954.0540771484375,18433816,1406.150024814166,1421.0351697486842,1399.402043989603,1401.78369140625,6751745
2025-06-19,407.11778041824044,409.66441515775824,406.2852227295919,407.4606018066406,12601006,954.0540746334422,960.4180648603083,949.9593979158449,954.7447509765625,16876220,1397.2189939427594,1403.8676438261634,1393.9442134714564,1400.4937744140625,8849883
2025-06-20,407.46057840418473,410.8887323090276,407.46057840418473,409.9582214355469,13203184,952.9193918485255,971.8140179089729,952.9193918485255,969.2486572265625,32900408,1400.4937821267788,1422.3253290273638,1399.4021078732494,1416.1727294921875,12408178
2025-06-23,408.4400574370469,408.9297937169475,403.2978264980913,405.4036865234375,14839890,961.2073364257812,965.8939867961492,957.9513597916495,961.2073364257812,11739518,1406.1500791810931,1412.3025575376569,1401.0891539348067,1409.226318359375,5514384
2025-06-24,408.3421256239387,412.0151479158747,405.25679287693885,405.844482421875,16690068,969.3966711141703,976.3033140635843,964.7593416610487,967.3740234375,22625322,1416.7680893764307,1424.9053748687675,1405.6538959425357,1413.1956787109375,11188438
2025-06-25,407.85236743319786,409.5664444107915,406.5790650634376,407.80340576171875,9946718,969.8900392545883,977.7833457795492,968.854054817417,976.8953247070312,18405932,1411.1117385952273,1417.9589294864209,1404.463088984364,1414.8826904296875,7527388
2025-06-26,408.635961243395,412.25999175637196,407.70545036119364,411.67230224609375,13703918,977.4873577522009,1000.032590400823,976.7966813877978,997.41796875,50084830,1413.8903780949927,1436.4165161110168,1410.814017835929,1428.080810546875,13617435
2025-06-27,412.3579493645105,413.3374219283217,409.2236252038625,410.0561828613281,21409935,1004.0015037809444,1007.393088107433,994.2258430942326,1004.9491577148438,28213384,1427.882386711014,1454.774858156496,1426.0961208320166,1451.00390625,22532899
2025-06-30,411.18257641188427,412.1130873177171,407.26468609870335,407.9013671875,12317124,1003.2533964547342,1004.400566128524,995.2732550959096,998.2658081054688,13649020,1450.6071028820047,1450.706312958781,1431.2564136212704,1434.7296142578125,6325073
2025-07-01,408.4400629554616,410.25209319380195,406.38316457386264,406.5790710449219,13670465,1000.0114368496795,1005.4977838847651,999.5126780283082,1003.5526123046875,14389386,1434.6302067068036,1436.5156826077227,1418.653508855977,1421.03515625,7761449
2025-07-02,408.3421042433258,408.3421042433258,403.2488648665335,404.47320556640625,15990899,1007.4429706558585,1007.4429706558585,986.4950998423908,990.5350341796875,18878250,1421.2336440793872,1439.8897415628453,1411.707175185214,1416.867431640625,13372280
2025-07-03,405.5016414226337,407.4605865502793,402.80809187212105,404.864990234375,14185298,994.9739612315547,1001.507689459166,989.6871300276722,991.0836181640625,16860506,1421.1344118511029,1435.027214103107,1412.798706272776,1414.98193359375,10177738
