,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-07-24,4059.493937233536,4108.349980054808,4041.1257072749645,4077.246826171875,1809793,461.67791921290376,475.3141836420076,456.69814231888404,459.86285400390625,43693692
2024-07-25,4066.595241107577,4112.042638447079,4046.901553853059,4092.6328125,2810342,456.09309104663214,461.6779092226846,451.11331426036946,456.04656982421875,18567567
2024-07-26,4118.670552129421,4187.2679052166895,4106.4090376287495,4154.5078125,3552210,459.86288665413383,471.35829062734945,453.6730560146967,467.4489440917969,21534703
2024-07-29,4180.213339815366,4195.362470831685,4138.553229520491,4148.1162109375,1746803,470.5205683407357,471.1721309915476,459.8628713024175,461.7244873046875,12978187
2024-07-30,4157.585718481626,4164.11869081323,4097.178262267316,4133.205078125,1797906,461.9571661211897,463.3533633251995,454.8365279309325,456.0000305175781,13891052
2024-07-31,4118.670902108038,4179.267439518362,4113.936797622856,4152.14111328125,2330091,458.373614385957,463.49301427967293,456.55854906003475,461.07293701171875,11982586
2024-08-01,4165.443127805721,4184.2847683252885,4132.919742480951,4163.265625,2202244,461.6313905239546,462.3760546322901,456.97737997103144,459.537109375,12114803
2024-08-02,4132.873162297419,4164.118251496919,4042.9251782382544,4055.281005859375,2811282,451.25298409269624,464.88922015217565,451.25298409269624,455.25543212890625,22141163
2024-08-05,4013.5736879846177,4013.5736879846177,3891.907205581687,3934.087890625,2787771,446.83163592942134,457.86164997554926,446.36621719129073,452.3699035644531,25022076
2024-08-06,3949.14268931395,4031.7999662691227,3939.532087639672,3949.37939453125,2203067,452.6026191959533,457.6754978281909,450.55485925262013,452.649169921875,14251363
2024-08-07,4003.1587050867174,4019.207504026678,3957.995163908957,3977.073974609375,1237666,456.0930950965633,461.3055960404738,454.32458063337543,458.5597229003906,11320399
2024-08-08,3958.657803185393,4006.9456644536194,3938.7745661925937,3950.656982421875,2441283,459.8163204658485,463.5395227307948,458.42009380414777,460.514404296875,21349889
2024-08-09,3992.74326394149,4027.44415336694,3981.901980990388,4003.868408203125,1302536,463.5395573573386,463.5395573573386,458.9786187546684,461.5848693847656,9556181
