,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2012-09-03,499.6182776356252,501.4317159749781,493.326788213547,495.1217041015625,1223826.0,134.08323332681584,134.13933040491222,131.94032768264987,132.49008178710938,7437816,116.54584032836922,116.9141094232078,115.39770787377559,115.93927764892578,6207435.0
2012-09-04,493.2896946650192,498.507919981377,489.27425386235075,496.23187255859375,1508018.0,132.51250701451232,132.91640321292428,131.76081169234493,132.41152954101562,5772588,115.72267384831879,116.48086961832504,115.09445361331179,115.46272277832031,4050429.0
2012-09-05,495.7321578850891,507.38991299772835,492.9565019058893,504.9843444824219,2028960.0,131.9403192424342,133.73542562668501,131.7944613704839,132.8603057861328,12158472,115.24610714104648,116.67584845160862,115.24610714104648,116.00430297851562,6639310.0
2012-09-06,504.8364610729166,510.6838629334318,500.9690639155139,509.09246826171875,2291684.0,132.41151468262163,133.17444029056946,131.51396158883514,131.97396850585938,5097452,115.70099919770318,115.87429988525686,112.68986370722173,112.84150695800781,7167836.0
2012-09-07,514.4218077428162,516.938421707495,510.31384406884564,513.2005004882812,2636656.0,133.34274075287442,133.51103196964286,131.42422362082885,132.47885131835938,11205148,113.94630787993435,114.24958406609593,112.81983287748609,113.8379898071289,10688325.0
2012-09-10,511.9050161983741,512.1641045565528,505.52100677013436,507.5564880371094,1476024.0,132.72565565683283,133.9597910855946,132.24321542008786,132.64712524414062,6034892,114.33624227582908,115.02945533312848,113.62137178148926,114.66118621826172,6622112.0
2012-09-11,506.6497057173328,516.4940225929379,504.81779095871656,515.4022827148438,1274180.0,132.10861961745212,133.95982320444824,130.89691724591523,133.3764190673828,6311544,114.63952093399956,116.0476045157453,113.98964333359244,115.80931091308594,3886091.0
2012-09-12,516.9938632553021,525.8944882524257,514.3847727384008,523.636962890625,2114466.0,133.56710908623182,134.63295329985567,133.26419041953605,134.4534454345703,6391016,116.00428926207282,116.97911089521862,115.59269493077552,116.67583465576172,5756128.0
2012-09-13,522.9336414754243,526.9860815605529,521.6568576613967,524.6730346679688,1881210.0,134.85734155535545,134.9695356831053,133.18564631276777,134.4534454345703,3399760,116.61085823402527,117.10910294592121,116.09094578326844,116.82748413085938,5623795.0
2012-09-14,528.4851399627595,532.8521921031651,518.9183836843505,522.9708251953125,2814840.0,136.11391841145388,137.94268828088144,134.8461329097461,137.49391174316406,25771220,117.67230247323504,118.19221480114327,115.61434149204831,116.22089385986328,17152709.0
