,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-05-19,427.1300810084491,430.56675982116076,424.822590669679,427.4737548828125,7543854,3431.413341631395,3431.413341631395,3386.659931697025,3401.255615234375,2537377,1531.185508443418,1539.4411867318856,1510.9833306187809,1514.965576171875,8855798
2025-05-20,429.09390418210114,432.82514353663043,425.068074374028,427.0318908691406,9868414,3413.82137266364,3439.1461226598826,3377.2840226457647,3381.4404296875,2038374,1524.8723866170074,1537.9843466293191,1513.2173110505078,1515.7425537109375,7143998
2025-05-21,428.70116612622536,430.27222538595333,424.184381991556,425.1662902832031,5776672,3390.8162851170264,3418.8475485914832,3381.4403579795026,3408.021728515625,1440153,1522.832797268108,1525.8436681268927,1507.4869000940212,1523.41552734375,4157309
2025-05-22,425.1662742449478,425.1662742449478,415.248994880322,418.39111328125,19451749,3378.2502763697153,3380.956790168703,3336.0101126719387,3360.8515625,2034383,1510.7890929485561,1515.936798484799,1495.7346211126817,1503.01904296875,6158990
2025-05-23,426.14817819915925,431.05771942265187,421.2386369756667,428.40655517578125,18536884,3360.851966080111,3416.9144952813326,3349.8328737001534,3397.196044921875,1274331,1505.447258808557,1541.5779455953386,1505.447258808557,1519.8218994140625,5038421
2025-05-26,430.32130894917486,435.5254109103499,428.8484465112427,434.8871765136719,13107662,3403.3819012793415,3426.5801874567637,3392.8461073678304,3419.137451171875,967470,1521.5700705826603,1538.275749801986,1517.782147363295,1535.070556640625,3170102
2025-05-27,434.8871621282408,436.1636608448351,423.0551795877558,426.04998779296875,26986022,3414.014574749619,3421.747337093333,3366.7481593177404,3381.826904296875,2467680,1534.487964353223,1537.401733466409,1511.6634396332652,1524.9696044921875,7775714
2025-05-28,417.70001220703125,422.6000061035156,413.0,420.20001220703125,431851622,3402.4152283668,3411.114585484783,3376.31715701285,3380.860107421875,1222933,1535.556238237006,1542.063608140773,1524.8724187426308,1526.6207275390625,3623370
2025-05-29,422.0,422.79998779296875,416.6000061035156,418.75,21478547,3387.626457620242,3414.4978538154573,3370.034470581059,3381.2470703125,3188072,1543.3263431603168,1562.6543682753302,1531.2827406845122,1540.0240478515625,8609500
2025-05-30,419.1000061035156,420.04998779296875,416.3999938964844,418.04998779296875,30656239,3373.417337946492,3389.5594310198626,3337.750068509547,3347.705810546875,3404365,1547.3124739974683,1548.297396005105,1531.652190030095,1539.1375732421875,13148092
2025-06-02,418.29998779296875,420.45001220703125,414.54998779296875,419.29998779296875,14973380,3334.7535745851437,3344.419526975246,3304.4025784742903,3334.560302734375,1877585,1536.4782943781508,1536.4782943781508,1515.7949327230604,1530.371826171875,4374509
2025-06-03,419.0,421.70001220703125,415.6499938964844,416.95001220703125,13216486,3330.8873298742683,3357.468700034321,3286.9072447003623,3291.4501953125,2848125,1535.4933708621093,1543.6682714095227,1512.4461724234918,1519.734619140625,6853403
2025-06-04,417.1499938964844,419.0,415.95001220703125,417.0,12598933,3304.9078969735056,3310.56402774214,3286.379348716646,3297.0087890625,2544807,1519.7346010168856,1533.8190332918903,1518.158749909477,1527.8109130859375,4548307
2025-06-05,418.5,420.95001220703125,415.75,419.1000061035156,13212523,3324.4116310325603,3324.4116310325603,3280.2356236372652,3287.4521484375,3584683,1524.5607331925255,1544.0621159555858,1518.3556767230737,1530.8642578125,6948539
2025-06-06,420.29998779296875,421.29998779296875,419.0,421.04998779296875,8774988,3287.4522468224686,3306.7607545858014,3275.359787909923,3300.22705078125,2070390,1531.2581829658582,1545.2441474823067,1519.8331118292815,1540.2210693359375,3960020
2025-06-09,422.0,423.6000061035156,420.5,423.04998779296875,10473123,3315.634960419095,3348.791310023286,3306.760665733127,3336.991455078125,1718678,1554.2069160448225,1564.0561360451065,1547.3124620446238,1549.183837890625,2903202
2025-06-10,424.5,428.54998779296875,423.04998779296875,427.0,13041075,3354.642197095073,3399.305794893864,3338.259013167141,3376.973876953125,2419874,1560.116482612782,1583.2621501262925,1553.7144894707471,1571.935546875,8591925
2025-06-11,428.0,428.1000061035156,424.8500061035156,426.1499938964844,20789182,3383.8979728571367,3402.4265208353168,3363.516665314218,3385.750732421875,2847013,1566.1244242034918,1609.9534525332194,1566.1244242034918,1606.5062255859375,10597410
2025-06-12,427.0,427.20001220703125,419.54998779296875,421.0,18508835,3385.750821410403,3388.4813919586536,3338.2592737504274,3348.986328125,4060134,1592.6188275892266,1603.452969273507,1574.0037782857437,1584.345458984375,10483574
2025-06-13,415.0,419.3500061035156,413.5,413.8999938964844,17873926,3309.003623498393,3364.8818717382055,3309.003623498393,3360.200927734375,2178493,1552.2369998927122,1584.7394243828517,1546.5244044661895,1577.844970703125,6968315
2025-06-16,414.95001220703125,418.8999938964844,413.25,418.20001220703125,7006629,3354.642349665819,3421.9302340050463,3341.1847251814343,3409.54541015625,1934088,1575.875214344727,1610.1505483486199,1573.01891647278,1599.31640625,5591842
2025-06-17,418.1000061035156,419.04998779296875,415.70001220703125,417.3999938964844,9028406,3422.905437301184,3432.6573046439225,3401.5489430536663,3428.073974609375,2111940,1596.2630097727385,1622.5604988569514,1591.2399317053334,1615.173583984375,7622083
2025-06-18,417.0,418.45001220703125,414.8999938964844,415.8999938964844,8036215,3431.7796073253016,3450.2105407013996,3357.665418209048,3365.75927734375,2696327,1596.5585788351507,1619.9011823893957,1596.5585788351507,1608.2791748046875,5629707
2025-06-19,415.6499938964844,418.25,414.79998779296875,416.0,12601006,3364.3944071832107,3365.3695939679014,3328.3124961496515,3339.03955078125,2672768,1599.4148737815738,1605.4228739879738,1587.2018168292147,1593.997802734375,5147760
2025-06-20,416.0,419.5,416.0,418.54998779296875,13203184,3340.0145242959966,3360.786049100129,3326.2642962767654,3350.448974609375,2351248,1594.58871180959,1606.1122510729595,1584.6410236941556,1598.429931640625,9202821
2025-06-23,417.0,417.5,411.75,413.8999938964844,14839890,3330.262945402313,3340.014813470841,3286.379539093937,3309.39404296875,3123421,1576.8601291540897,1576.8601291540897,1551.6461498856431,1560.116455078125,7943676
2025-06-24,416.8999938964844,420.6499938964844,413.75,414.3500061035156,16690068,3349.376392565029,3356.690292940616,3298.081476031171,3306.27294921875,3403048,1576.860073737694,1584.739449496533,1552.827953627288,1557.7525634765625,8083992
2025-06-25,416.3999938964844,418.1499938964844,415.1000061035156,416.3500061035156,9946718,3322.7537403887272,3364.3941654870573,3315.634829755361,3359.3232421875,1757699,1566.025955644839,1595.4751470327865,1561.199813873949,1590.550537109375,7813533
2025-06-26,417.20001220703125,420.8999938964844,416.25,420.29998779296875,13703918,3359.3232652421043,3365.759354753242,3330.555256962972,3356.397705078125,2879106,1584.5425210067874,1599.5132869304996,1582.3756205245834,1591.6339111328125,6519233
