,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-05-06,420.7666029152538,422.834364350939,416.43871785669694,418.89117431640625,15026568,1462.7119235923028,1472.0359599506996,1456.0102317041706,1468.0538330078125,4270530,1418.0581160771362,1422.7220796211836,1409.5239906903596,1420.63818359375,6301690
2025-05-07,416.823396791454,418.362206178502,413.2649312686502,414.6594543457031,9710361,1456.8844481471906,1475.1441139885928,1453.5821530190785,1464.9459228515625,5691799,1414.0887881642996,1430.9586193213472,1410.119416127347,1424.4091796875,10480453
2025-05-08,412.59168381124715,414.9960642530376,407.350122708005,414.1304931640625,19937960,1464.654613791716,1472.9102929808603,1458.0500230157727,1467.9569091796875,8424409,1427.5846620245352,1437.8058437113664,1415.1803741209164,1424.5084228515625,15306490
2025-05-09,409.658387599701,412.7359772268443,406.82120668762605,407.35015869140625,8226512,1457.5642989506216,1467.9568126185206,1451.1540310083215,1464.2659912109375,4478653,1404.3638078003796,1409.0278927234135,1376.379782804671,1378.2652587890625,13491197
2025-05-12,413.0725955722253,419.5163474528399,411.77422415146265,418.8431091308594,8031891,1492.8209942326298,1585.0903465111594,1487.96471253376,1580.136962890625,11372857,1398.6082269981746,1441.8743569081432,1393.249550653154,1437.4088134765625,9925445
2025-05-13,418.2660177094136,421.1993794721109,409.08129611962823,411.53375244140625,14976369,1562.7513505672503,1565.859323230766,1519.627548132014,1523.5125732421875,12846210,1429.0731325397105,1436.8134564073198,1416.4704248722041,1419.6458740234375,12475424
2025-05-14,410.76439222672843,415.332715418473,409.6102777855163,412.6878967285156,9557309,1528.75740058924,1549.1537826809642,1524.3867472838704,1546.6285400390625,4870057,1418.9512828044426,1429.6685145448027,1406.4477852062123,1415.279541015625,8026837
2025-05-15,412.6878727466996,418.74689983509177,409.7064350721147,416.1020812988281,24263510,1544.103254657481,1572.0753639006625,1525.8435894847285,1566.6363525390625,11151167,1414.9819190581854,1445.3475908699352,1404.6615275498752,1439.6912841796875,18209264
2025-05-16,418.26604202592637,419.51633754430964,415.573147502307,419.03546142578125,16402035,1566.2479103864578,1566.2479103864578,1536.0418626920532,1544.200439453125,4576751,1442.172107583965,1447.5306627908633,1435.920298328426,1442.86669921875,6439208
2025-05-19,418.362202884726,421.72833555161463,416.10207936688846,418.6988220214844,7543854,1531.185508443418,1539.4411867318856,1510.9833306187809,1514.965576171875,8855798,1435.4241717584057,1448.5230511072755,1432.7448940711074,1437.905029296875,6005334
