,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-01-09,3892.3851104960186,3927.2656647049257,3820.535960823577,3833.396728515625,2392472,1248.3675530849682,1255.0658686519982,1238.543332692866,1252.73388671875,8684920,1794.4735799395714,1803.9769318216438,1724.9096574628454,1729.628173828125,2893500
2025-01-10,3986.3490838137277,4078.41476503514,3957.875161786487,4048.659423828125,7894300,1249.359870144571,1255.264262696962,1233.5815917988612,1240.2799072265625,7854524,1722.716655461254,1747.8208276682265,1683.523618104534,1701.84912109375,3925527
2025-01-13,4029.0596808346854,4103.044601693763,4012.3548884093498,4072.814697265625,4003771,1225.4444532249365,1234.4250851207983,1215.5210227528514,1220.3338623046875,9669336,1684.852685168949,1744.4647206291131,1669.102433913105,1713.4625244140625,6251274
2025-01-14,4083.160028403723,4094.454590373018,4004.429456147033,4017.71728515625,3441709,1223.9062438907645,1235.3181886617992,1218.0513958245872,1230.8031005859375,10342698,1752.8051211882614,1826.8714467491561,1728.5649230753727,1810.5728759765625,7227348
2025-01-15,4003.43315943906,4039.9274190172896,3993.420016264204,4033.42578125,1653474,1224.551219155373,1234.8716102214069,1220.5818472942535,1228.7686767578125,5355382,1844.1836068765376,1930.2455490929508,1844.1836068765376,1922.6029052734375,10900698
2025-01-16,4043.297121528325,4075.5675680381755,3978.6139515802215,3992.32861328125,2637705,1235.56627244332,1245.8866640990627,1230.1580514277643,1239.53564453125,11895924,1937.2234585459778,2003.9795875285577,1931.9235239103252,1991.9342041015625,8259705
2025-01-17,4020.939695681563,4021.6165011799776,3963.08887255939,3986.52880859375,1761466,1233.8296138721637,1239.4363759086416,1208.6737436803246,1216.066650390625,9790533,1986.069425051671,2001.9027883139827,1952.1763219534732,1993.296630859375,3597489
2025-01-20,4007.3105183689017,4007.3105183689017,3932.2063483825796,3941.582275390625,1287799,1214.5286456993424,1232.2419443689244,1205.944854354206,1223.50927734375,7676418,2016.971998543352,2038.0388560665956,1965.4511417772992,1986.9998779296875,3832356
2025-01-21,3958.497981875744,3973.6734816653625,3895.379258358407,3901.033935546875,1971591,1227.4786100806577,1229.4632960558952,1183.567432878532,1186.9910888671875,20520898,1994.0275969371603,1996.9350529572228,1907.8659962810068,1923.8988037109375,4172727
2025-01-22,3914.711087541146,4024.0812547656583,3909.104787428617,4017.750244140625,2409223,1191.8038937223043,1198.2541229556057,1182.6743869540314,1191.258056640625,10377123,1927.2549349167793,1932.2392148159724,1861.130114358646,1913.531494140625,4651524
2025-01-23,4028.769436842585,4051.3395327602407,4001.7529079009387,4006.972900390625,1822998,1188.0826742078204,1198.6511515402387,1176.9188152937772,1192.5482177734375,8770650,1915.5916918309451,1977.0977802402394,1899.4260021999662,1963.7066650390625,4069887
2025-01-24,3966.9068713794295,4038.4349192551795,3966.9068713794295,4013.641845703125,1910099,1193.8878937592276,1208.6738293636251,1192.7963406363526,1199.941162109375,9216792,1963.8063058116188,2010.2597707386906,1931.3253741507838,1939.084228515625,3725880
2025-01-27,3964.973867046099,4017.5084152856,3906.0599315038703,3929.354736328125,1551782,1185.8499521739243,1225.1963785798748,1183.9644761399952,1218.547607421875,16164687,1897.0168973319162,1915.0599659224672,1784.7044994113098,1808.0142822265625,6137661
2025-01-28,3934.816117007367,3964.9738425768846,3893.735817565749,3905.3349609375,2468272,1237.7990449684048,1254.3215805212242,1226.535975889425,1237.3525390625,18066499,1808.0143253075362,1823.5819254149562,1705.172056583643,1713.5123291015625,8450283
2025-01-29,3918.5775340354608,3970.6287878295893,3918.5775340354608,3962.847412109375,1217089,1242.4134579383835,1246.1844098592185,1233.5320363858045,1242.066162109375,7666777,1711.269352034495,1789.1571200333447,1706.6340691843457,1781.963134765625,5106936
2025-01-30,3962.943972286711,3991.941831258984,3922.927021299046,3963.0888671875,1531251,1240.428743300886,1250.203297570973,1230.0091418571585,1245.98583984375,11921041,1801.8339023443018,1803.2792948787496,1725.242091968857,1740.8096923828125,4410945
2025-01-31,3972.7066328908318,3990.5405047390313,3948.7833995175843,3975.0263671875,1492943,1244.8943321590757,1246.3828467053002,1229.6122252573796,1243.2073974609375,10195417,1746.1593531553976,1767.3093223354106,1733.8814265452786,1763.08935546875,3307665
2025-02-01,3975.606564509793,3997.741503018046,3920.5106310847846,3937.087646484375,437172,1241.5699459496786,1251.6917959101459,1224.3528194419691,1245.936279296875,3011914,1768.920964291443,1817.4180328174084,1744.8303182919324,1795.6865234375,3763836
2025-02-03,3896.2488211358454,3940.8089579536745,3865.1245003058734,3932.73779296875,1265713,1237.3028281264465,1250.3521626222068,1228.3221967826344,1243.40576171875,6176831,1771.4130372421532,1807.632177609127,1751.1435922020642,1799.4578857421875,3367482
2025-02-04,3947.285122132378,3981.2610880254483,3930.2248097290194,3969.85498046875,2547132,1253.1308244391428,1270.6952475836679,1250.3522155059911,1258.4893798828125,14839077,1816.9361300463372,1858.6878706797836,1811.6029748777405,1849.2841796875,3765051
2025-02-05,4011.3703550712034,4011.3703550712034,3939.8423053663196,3954.43798828125,1693912,1260.4740215455731,1267.966259598702,1255.462762111137,1257.9931640625,6840709,1866.9284471505637,1945.5305155632993,1850.8291989969869,1938.2535400390625,6223398
2025-02-06,3968.259986916976,4001.2209788539626,3916.2089750568643,3946.36669921875,2284536,1265.2372940723083,1269.2066659752802,1253.5275985042942,1262.6572265625,8396554,1946.5273931324255,1946.5273931324255,1834.2149938535654,1850.01513671875,5869194
2025-02-07,3953.374595002479,3953.374595002479,3874.113784051329,3894.798828125,1548940,1262.2603567708522,1265.2373859141799,1239.9823038025354,1247.2760009765625,7382039,1827.5693509238356,1910.2086149358809,1815.307973603346,1902.698974609375,8037120
2025-02-10,3905.045086746592,3916.644230568612,3880.2520112210996,3902.096923828125,1339511,1247.5735745348811,1255.3138984101563,1239.7837061908433,1252.9322509765625,5740361,1903.9948769759312,1925.5768327721505,1860.7977449640427,1870.6334228515625,4127682
